hour, t(sec), P1 (kW), Q1 (kvar), P2 (kW), Q2 (kvar), P3 (kW), Q3 (kvar)
0, 900.00000, 1811.13, 902.79, 1429.44, 863.792, 1540.69, 639.148
0, 1800.00000, 1749.32, 870.553, 1373.62, 829.105, 1481.48, 612.506
0, 2700.00000, 1604.84, 831.996, 1238.78, 789.954, 1342.61, 581.682
1, 0.00000, 1646.06, 854.982, 1284.59, 817.024, 1392.07, 603.856
1, 900.00000, 1622.08, 843.03, 1264.57, 804.732, 1371.26, 594.423
1, 1800.00000, 1689.58, 826.391, 1337.19, 787.062, 1440.82, 582.49
1, 2700.00000, 1711.39, 836.319, 1359.65, 801.427, 1462.44, 592.876
2, 0.00000, 1729, 846.983, 1372.58, 808.964, 1478.47, 599.372
2, 900.00000, 1689.43, 825.221, 1333.24, 784.933, 1435.12, 580.836
2, 1800.00000, 1718.43, 839.801, 1358.23, 800.97, 1461.14, 592.559
2, 2700.00000, 1712.22, 815.513, 1358.67, 774.328, 1459.59, 573.138
3, 0.00000, 1639.18, 778.545, 1295.42, 734.576, 1393.24, 543.464
3, 900.00000, 1681.06, 800.376, 1333.18, 758.3, 1434.11, 560.849
3, 1800.00000, 1640.94, 778.735, 1297.55, 734.674, 1395.25, 543.946
3, 2700.00000, 1744.26, 832.388, 1386.99, 789.035, 1491.45, 585.897
4, 0.00000, 1716.42, 818.021, 1360.76, 772.909, 1463.62, 573.647
4, 900.00000, 1691.04, 804.849, 1333.14, 754.635, 1434.5, 561.016
4, 1800.00000, 1781.04, 850.112, 1403.92, 798.976, 1509.23, 594.15
4, 2700.00000, 1751.44, 801.52, 1389.1, 749.724, 1487.13, 557.975
5, 0.00000, 1804.17, 828.272, 1432.24, 776.114, 1532.69, 578.338
5, 900.00000, 1779.13, 815.478, 1412.82, 764.841, 1512.21, 568.891
5, 1800.00000, 1931.56, 834.358, 1567.61, 782.837, 1669.82, 586.825
5, 2700.00000, 1919.73, 826.953, 1554.13, 775.862, 1653.97, 580.259
6, 0.00000, 1847.7, 786.934, 1485.85, 734.311, 1578.23, 547.534
6, 900.00000, 1939.13, 833.58, 1544.3, 770.757, 1642.27, 575.062
6, 1800.00000, 1960.84, 843.006, 1541.39, 766.233, 1638.96, 574.146
6, 2700.00000, 2005.86, 822.226, 1582.58, 738.342, 1677.19, 554.09
7, 0.00000, 2096.2, 867.881, 1644.24, 775.844, 1743.43, 583.183
7, 900.00000, 2121.35, 875.62, 1659.18, 783.559, 1752.8, 589.785
7, 1800.00000, 1994.35, 831.722, 1534.73, 729.613, 1623.37, 551.907
7, 2700.00000, 1981.1, 824.312, 1520.77, 720.302, 1607.6, 545.629
8, 0.00000, 2044.7, 853.928, 1572.79, 750.676, 1659.1, 569.797
8, 900.00000, 1971.52, 817.623, 1499.28, 703.467, 1582.71, 536.546
8, 1800.00000, 2010.99, 838.489, 1534.12, 723.842, 1621.8, 552.165
8, 2700.00000, 2096.77, 877.217, 1597.91, 758.456, 1687.85, 578.768
9, 0.00000, 2176.41, 916.153, 1673.17, 799.298, 1763.07, 615.388
9, 900.00000, 2152.15, 905.243, 1655.87, 788.951, 1747.56, 606.6
9, 1800.00000, 2169.55, 900.491, 1675.07, 782.904, 1766.19, 603.184
9, 2700.00000, 2096.44, 862.304, 1610.65, 741.422, 1695.87, 573.835
10, 0.00000, 2089.24, 859.857, 1610.97, 741.206, 1697.43, 574.049
10, 900.00000, 2142.26, 886.247, 1658.86, 770.209, 1746.92, 596.458
10, 1800.00000, 2106.77, 867.718, 1625.35, 748.553, 1711.36, 580.697
10, 2700.00000, 2105.89, 906.423, 1614.38, 788.351, 1709.57, 608.05
11, 0.00000, 2092.23, 897.113, 1600.11, 779.455, 1692.19, 600.589
11, 900.00000, 2024.38, 861.609, 1545.49, 744.292, 1631.43, 575.983
11, 1800.00000, 2019.28, 907.748, 1546.85, 802.662, 1641.75, 618.019
11, 2700.00000, 1963.04, 877.848, 1501.41, 775.599, 1591.05, 596.888
12, 0.00000, 1912.19, 851.116, 1455.6, 746.084, 1541.92, 575.301
12, 900.00000, 2043.48, 920.391, 1565.52, 814.668, 1661.34, 627.333
12, 1800.00000, 2028.69, 911.174, 1550.65, 806.848, 1644.62, 619.236
