hour, t(sec), |V|1 (volts), |V|2 (volts), |V|3 (volts), |V|4 (volts), |I|1 (amps), |I|2 (amps), |I|3 (amps), |I|4 (amps)
0, 900.00000, 125.377, 125.118, 126.405, 0, 276.045, 275.053, 206.4, 69.7658
0, 1800.00000, 125.622, 125.373, 126.611, 0, 262.597, 261.254, 195.802, 66.6993
0, 2700.00000, 125.734, 125.47, 126.66, 0, 250.53, 251.19, 188.623, 62.7665
1, 0.00000, 125.6, 125.351, 126.628, 0, 256.098, 255.676, 185.616, 70.8147
1, 900.00000, 125.731, 125.495, 126.744, 0, 247.63, 246.406, 178.146, 69.399
1, 1800.00000, 125.822, 125.57, 126.8, 0, 243.974, 244.372, 177.069, 67.6042
1, 2700.00000, 125.728, 125.477, 126.692, 0, 249.385, 249.475, 183.497, 66.4403
2, 0.00000, 125.675, 125.434, 126.676, 0, 251.782, 251.072, 183.258, 68.6966
2, 900.00000, 125.836, 125.569, 126.81, 0, 243.288, 244.674, 176.593, 67.8958
2, 1800.00000, 125.753, 125.495, 126.735, 0, 247.207, 247.445, 180.026, 67.8112
2, 2700.00000, 126.017, 125.766, 126.973, 0, 235.268, 235.515, 169.913, 65.9529
3, 0.00000, 126.261, 126.017, 127.166, 0, 222.688, 223.292, 161.194, 62.2325
3, 900.00000, 126.154, 125.926, 127.076, 0, 227.086, 225.949, 164.478, 62.4984
3, 1800.00000, 126.362, 126.139, 127.232, 0, 214.926, 213.676, 156.38, 58.3475
3, 2700.00000, 125.99, 125.749, 126.944, 0, 234.845, 234.248, 170.094, 64.9375
4, 0.00000, 126.071, 125.848, 127.007, 0, 231.311, 229.417, 167.993, 62.8626
4, 900.00000, 126.186, 125.943, 127.11, 0, 224.771, 224.725, 162.503, 62.7033
4, 1800.00000, 125.913, 125.638, 126.869, 0, 238.659, 239.948, 174.398, 65.4256
4, 2700.00000, 126.208, 125.956, 127.117, 0, 226.079, 226.338, 164.844, 61.8219
5, 0.00000, 126.109, 125.864, 127.066, 0, 228.896, 227.938, 163.951, 64.945
5, 900.00000, 126.169, 125.93, 127.071, 0, 226.429, 225.279, 165.971, 60.3511
5, 1800.00000, 126.107, 125.854, 127.087, 0, 234.382, 234.708, 167.465, 67.564
5, 2700.00000, 126.154, 125.918, 127.106, 0, 232.299, 230.83, 167.484, 64.5667
6, 0.00000, 126.359, 126.128, 127.231, 0, 223.86, 222.12, 165.174, 58.2721
6, 900.00000, 126.106, 125.85, 127.022, 0, 237.031, 235.696, 176.063, 60.8141
6, 1800.00000, 126.123, 125.826, 127.107, 0, 234.979, 236.313, 168.975, 67.2051
6, 2700.00000, 126.379, 126.096, 127.28, 0, 220.553, 220.738, 161.449, 59.6827
