hour, t(sec), |V|1 (volts), |V|2 (volts), |V|3 (volts), |V|4 (volts), |I|1 (amps), |I|2 (amps), |I|3 (amps), |I|4 (amps)
0, 900.00000, 122.978, 122.24, 123.849, 0, 258.068, 283.755, 228.985, 49.0963
0, 1800.00000, 123.263, 122.538, 124.082, 0, 249.457, 274.645, 223.439, 45.9042
0, 2700.00000, 123.486, 122.823, 124.282, 0, 233.909, 255.042, 208.273, 41.9572
1, 0.00000, 123.202, 122.501, 124.012, 0, 245.906, 270.588, 219.773, 45.5
1, 900.00000, 123.277, 122.57, 124.082, 0, 244.373, 270.01, 218.294, 46.2517
1, 1800.00000, 123.501, 122.828, 124.281, 0, 235.396, 258.639, 210.167, 43.3606
1, 2700.00000, 123.392, 122.685, 124.183, 0, 239.434, 264.798, 213.143, 46.1385
2, 0.00000, 123.262, 122.575, 124.052, 0, 245.84, 269.334, 220.581, 43.7001
2, 900.00000, 123.517, 122.828, 124.282, 0, 235.28, 259.343, 211.065, 43.1911
2, 1800.00000, 123.335, 122.604, 124.098, 0, 242.493, 269.436, 219.245, 44.9753
2, 2700.00000, 123.657, 122.957, 124.402, 0, 234.232, 259.587, 211.494, 43.0497
3, 0.00000, 124.052, 123.412, 124.789, 0, 219.121, 241.193, 195.617, 40.6911
3, 900.00000, 123.75, 123.06, 124.487, 0, 231.505, 257.042, 209.498, 42.5645
3, 1800.00000, 124.072, 123.407, 124.786, 0, 218.728, 242.779, 197.339, 40.612
3, 2700.00000, 123.546, 122.85, 124.304, 0, 237.975, 262.865, 215.189, 42.7296
4, 0.00000, 123.671, 122.998, 124.425, 0, 234.301, 257.666, 211.386, 41.4641
4, 900.00000, 123.839, 123.203, 124.609, 0, 227.983, 248.725, 203.281, 40.7104
4, 1800.00000, 123.486, 122.796, 124.269, 0, 238.417, 261.409, 214.472, 42.1108
4, 2700.00000, 123.932, 123.285, 124.659, 0, 226.053, 247.02, 204.395, 38.2294
5, 0.00000, 123.664, 122.946, 124.413, 0, 236.025, 262.085, 213.834, 43.2586
5, 900.00000, 123.821, 123.13, 124.554, 0, 229.144, 253.087, 207.56, 40.8099
5, 1800.00000, 123.753, 123.097, 124.501, 0, 237.4, 258.566, 214.794, 39.3176
5, 2700.00000, 123.767, 123.074, 124.504, 0, 237.754, 261.922, 216.032, 41.1835
6, 0.00000, 124.158, 123.48, 124.834, 0, 224.264, 247.435, 205.877, 37.3852
6, 900.00000, 123.823, 123.113, 124.554, 0, 234.806, 258.156, 214.421, 39.3717
6, 1800.00000, 123.866, 123.159, 124.652, 0, 233.197, 255.593, 208.835, 41.9476
6, 2700.00000, 124.172, 123.472, 124.929, 0, 221.583, 243.806, 199.111, 40.0689
7, 0.00000, 123.784, 123.039, 124.58, 0, 234.816, 258.626, 212.026, 41.9117
7, 900.00000, 123.812, 123.062, 124.59, 0, 232.078, 254.202, 209.644, 40.1242
7, 1800.00000, 124.123, 123.395, 124.874, 0, 221.748, 243.771, 200.197, 39.1528
7, 2700.00000, 124.192, 123.467, 124.916, 0, 219.72, 241.368, 200.117, 37.1504
8, 0.00000, 123.989, 123.216, 124.725, 0, 225.046, 249.162, 205.079, 39.7238
8, 900.00000, 124.341, 123.596, 125.042, 0, 214.656, 237.661, 196.577, 37.0559
8, 1800.00000, 124.222, 123.476, 124.941, 0, 215.293, 238.208, 197.005, 37.1803
8, 2700.00000, 123.812, 123.043, 124.56, 0, 225.713, 248.325, 206.633, 37.7089
9, 0.00000, 123.459, 122.648, 124.218, 0, 240.473, 265.596, 220.493, 40.8303
9, 900.00000, 123.619, 122.826, 124.358, 0, 231.169, 255.632, 212.968, 38.6993
9, 1800.00000, 123.624, 122.859, 124.353, 0, 230.65, 253.219, 213.46, 36.1554
9, 2700.00000, 123.969, 123.213, 124.679, 0, 220.802, 243.765, 202.893, 36.9574
10, 0.00000, 123.909, 123.146, 124.596, 0, 224.303, 248.951, 208.84, 36.5543
10, 900.00000, 123.721, 122.971, 124.444, 0, 229.4, 251.417, 211.051, 36.5523
