hour, t(sec), |V|1 (volts), |V|2 (volts), |V|3 (volts), |V|4 (volts), |I|1 (amps), |I|2 (amps), |I|3 (amps), |I|4 (amps)
0, 900.00000, 124.205, 123.672, 124.947, 0, 273.535, 279.611, 248.073, 30.366
0, 1800.00000, 124.408, 123.891, 125.143, 0, 266.817, 272.381, 241.661, 29.6742
0, 2700.00000, 124.861, 124.362, 125.581, 0, 246.672, 251.788, 222.047, 28.7252
1, 0.00000, 124.596, 124.111, 125.351, 0, 261.429, 265.842, 233.034, 32.0356
1, 900.00000, 124.65, 124.161, 125.389, 0, 260.825, 266.074, 233.542, 31.4575
1, 1800.00000, 124.746, 124.272, 125.489, 0, 249.914, 254.438, 221.822, 31.7253
1, 2700.00000, 124.584, 124.102, 125.318, 0, 260.135, 264.961, 232.218, 31.7787
2, 0.00000, 124.526, 124.049, 125.285, 0, 261.768, 266.056, 232.39, 32.9111
2, 900.00000, 124.702, 124.227, 125.454, 0, 253.878, 257.848, 225.361, 31.8337
2, 1800.00000, 124.497, 124.01, 125.241, 0, 266.403, 270.842, 238.811, 31.2829
2, 2700.00000, 124.689, 124.21, 125.422, 0, 254.564, 259.215, 227.515, 30.8074
3, 0.00000, 125.061, 124.603, 125.748, 0, 235.288, 239.543, 211.639, 27.09
3, 900.00000, 124.787, 124.307, 125.446, 0, 251.499, 257.197, 230.503, 25.54
3, 1800.00000, 125.009, 124.543, 125.687, 0, 239.521, 244.596, 216.719, 26.8133
3, 2700.00000, 124.594, 124.109, 125.308, 0, 257.413, 262.677, 232.773, 28.8661
4, 0.00000, 124.737, 124.253, 125.434, 0, 250.159, 255.588, 226.891, 27.5943
4, 900.00000, 124.922, 124.437, 125.604, 0, 238.86, 244.447, 217.628, 25.6769
4, 1800.00000, 124.544, 124.038, 125.295, 0, 256.11, 261.143, 230.862, 29.3867
4, 2700.00000, 124.868, 124.384, 125.585, 0, 239.339, 244, 215.444, 27.6833
5, 0.00000, 124.565, 124.057, 125.299, 0, 256.122, 261.65, 231.87, 28.7238
5, 900.00000, 124.686, 124.191, 125.418, 0, 249.879, 254.873, 225.063, 28.8682
5, 1800.00000, 124.523, 124.041, 125.284, 0, 248.16, 252.662, 220.605, 31.2302
5, 2700.00000, 124.493, 123.993, 125.216, 0, 253.097, 258.663, 228.922, 28.6307
6, 0.00000, 124.785, 124.293, 125.477, 0, 241.563, 246.555, 219.643, 25.9752
6, 900.00000, 124.502, 123.965, 125.243, 0, 250.992, 256.535, 228.927, 26.6666
6, 1800.00000, 124.552, 123.991, 125.34, 0, 244.273, 249.586, 221.862, 26.9197
6, 2700.00000, 124.666, 124.097, 125.404, 0, 234.754, 240.646, 217.728, 22.0843
7, 0.00000, 124.343, 123.72, 125.116, 0, 247.65, 255.269, 231.211, 23.0279
7, 900.00000, 124.348, 123.712, 125.126, 0, 245.297, 252.244, 229.092, 22.3149
7, 1800.00000, 124.689, 124.058, 125.458, 0, 233.935, 241.139, 219.433, 20.8476
7, 2700.00000, 124.757, 124.126, 125.528, 0, 230.96, 238.134, 216.443, 20.8206
8, 0.00000, 124.526, 123.875, 125.341, 0, 240.777, 247.863, 223.496, 23.4607
8, 900.00000, 124.846, 124.205, 125.664, 0, 225.955, 232.878, 209.641, 22.3331
8, 1800.00000, 124.734, 124.093, 125.541, 0, 229.04, 235.774, 214.268, 20.7811
8, 2700.00000, 124.475, 123.808, 125.333, 0, 238.152, 244.553, 221.266, 22.6745
9, 0.00000, 124.121, 123.457, 125.076, 0, 255.282, 260.454, 230.269, 29.8064
9, 900.00000, 124.235, 123.585, 125.167, 0, 249.028, 254.154, 225.412, 28.3401
9, 1800.00000, 124.301, 123.639, 125.19, 0, 242.885, 249.388, 222.949, 25.6836
9, 2700.00000, 124.557, 123.91, 125.44, 0, 233.734, 239.854, 213.828, 25.2879
10, 0.00000, 124.539, 123.897, 125.407, 0, 235.898, 242.497, 216.474, 25.1574
10, 900.00000, 124.4, 123.753, 125.294, 0, 239.252, 245.566, 217.623, 27.1095
10, 1800.00000, 124.582, 123.946, 125.498, 0, 230.06, 235.857, 206.555, 28.4997
10, 2700.00000, 124.275, 123.617, 125.213, 0, 249.108, 256.07, 225.02, 30.0453
11, 0.00000, 124.409, 123.753, 125.339, 0, 240.919, 247.398, 217.355, 29.1401
11, 900.00000, 124.689, 124.058, 125.602, 0, 228.212, 233.769, 204.744, 28.2787
11, 1800.00000, 124.342, 123.707, 125.221, 0, 250.283, 256.959, 228.309, 27.7247
11, 2700.00000, 124.525, 123.894, 125.351, 0, 244.581, 251.598, 225.531, 25.0783
12, 0.00000, 124.84, 124.238, 125.707, 0, 226.069, 231.375, 203.283, 27.3375
12, 900.00000, 124.262, 123.604, 125.147, 0, 252.953, 260.836, 230.651, 28.9384
12, 1800.00000, 124.341, 123.704, 125.217, 0, 248.981, 254.831, 227.368, 26.7997
12, 2700.00000, 124.464, 123.817, 125.312, 0, 245.397, 253.358, 226.198, 25.9746
13, 0.00000, 124.522, 123.871, 125.41, 0, 244.655, 251.092, 223.713, 26.5783
13, 900.00000, 124.35, 123.684, 125.25, 0, 251.097, 258.171, 229.725, 27.5176
13, 1800.00000, 124.315, 123.66, 125.26, 0, 251.364, 257.315, 225.835, 30.7541
13, 2700.00000, 123.709, 123.004, 124.752, 0, 273.102, 279.966, 243.429, 35.7185
14, 0.00000, 123.923, 123.248, 124.996, 0, 262.836, 267.655, 230.658, 36.7628
14, 900.00000, 124.043, 123.379, 125.085, 0, 257.925, 262.72, 227.993, 34.4767
14, 1800.00000, 124.293, 123.632, 125.305, 0, 248.247, 253.745, 219.698, 33.4599
14, 2700.00000, 124.377, 123.735, 125.377, 0, 246.842, 251.479, 217.563, 33.565
15, 0.00000, 124.182, 123.511, 125.203, 0, 257.066, 262.176, 228.449, 33.3683
15, 900.00000, 124.429, 123.776, 125.434, 0, 247.045, 251.683, 219.221, 32.1851
15, 1800.00000, 124.147, 123.485, 125.129, 0, 258.529, 263.845, 232.251, 31.1874
15, 2700.00000, 124.381, 123.746, 125.395, 0, 242.088, 245.918, 212.176, 33.6667
16, 0.00000, 124.12, 123.47, 125.131, 0, 257.544, 262.286, 228.453, 33.5564
16, 900.00000, 124.116, 123.462, 125.089, 0, 260.885, 266.927, 234.381, 31.8725
16, 1800.00000, 124.094, 123.439, 125.032, 0, 264.024, 270.767, 239.266, 30.6377
16, 2700.00000, 124.34, 123.69, 125.267, 0, 249.006, 255.42, 225.248, 29.3263
17, 0.00000, 124.115, 123.46, 125.059, 0, 259.869, 266.302, 234.471, 31.0131
17, 900.00000, 124.295, 123.695, 125.208, 0, 250.269, 255.629, 222.188, 32.6869
17, 1800.00000, 124.304, 123.712, 125.158, 0, 261.934, 268.072, 234.818, 32.2126
17, 2700.00000, 124.316, 123.747, 125.146, 0, 262.253, 268.26, 235.105, 32.087
18, 0.00000, 124.453, 123.912, 125.253, 0, 255.573, 260.513, 228.403, 31.2967
18, 900.00000, 123.929, 123.378, 124.734, 0, 275.904, 282.573, 246.698, 34.487
18, 1800.00000, 123.903, 123.372, 124.741, 0, 277.447, 282.58, 244.44, 37.2137
18, 2700.00000, 123.945, 123.394, 124.751, 0, 281.055, 287.904, 250.07, 36.3274
19, 0.00000, 123.679, 123.095, 124.433, 0, 294.544, 304.239, 267.95, 34.1157
19, 900.00000, 123.848, 123.286, 124.59, 0, 286.899, 296.026, 260.083, 33.8254
19, 1800.00000, 123.713, 123.151, 124.456, 0, 291.844, 301.092, 264.696, 34.2488
19, 2700.00000, 123.572, 123.005, 124.405, 0, 292.464, 301.529, 260.185, 39.1637
20, 0.00000, 123.633, 123.085, 124.495, 0, 294.787, 302.256, 258.734, 41.7535
20, 900.00000, 123.35, 122.789, 124.251, 0, 303.384, 311.545, 267.478, 42.2149
20, 1800.00000, 123.601, 123.057, 124.454, 0, 296.44, 303.409, 261.594, 40.2677
