hour, t(sec), P1 (kW), Q1 (kvar), P2 (kW), Q2 (kvar), P3 (kW), Q3 (kvar)
0, 900.00000, 1789.61, 903.499, 1407.56, 864.301, 1519, 639.894
0, 1800.00000, 1727.76, 871.222, 1351.71, 829.587, 1459.73, 613.212
0, 2700.00000, 2036.39, 847.925, 1669.66, 802.245, 1774.32, 596.089
1, 0.00000, 2077.81, 871.358, 1715.6, 829.754, 1823.93, 618.74
1, 900.00000, 2053.77, 859.189, 1695.53, 817.287, 1803.07, 609.115
1, 1800.00000, 2061.05, 840.19, 1708.27, 798.021, 1812.49, 595.049
1, 2700.00000, 2082.93, 850.291, 1730.77, 812.539, 1834.15, 605.592
2, 0.00000, 2100.56, 861.095, 1743.72, 820.185, 1850.21, 612.225
2, 900.00000, 2060.87, 839.001, 1704.32, 795.852, 1806.77, 593.348
2, 1800.00000, 2089.95, 853.823, 1729.36, 812.083, 1832.87, 605.29
2, 2700.00000, 2030.5, 827.055, 1676.73, 783.523, 1778.09, 583.61
3, 0.00000, 1957.32, 789.592, 1613.36, 743.367, 1711.61, 553.486
3, 900.00000, 1999.28, 811.709, 1651.18, 767.33, 1752.55, 571.148
3, 1800.00000, 1694.15, 780.774, 1350.63, 736.243, 1448.45, 545.802
3, 2700.00000, 1797.51, 834.561, 1440.09, 790.71, 1544.69, 587.883
4, 0.00000, 1769.67, 820.152, 1413.86, 774.549, 1516.86, 575.592
4, 900.00000, 1744.25, 806.936, 1386.22, 756.239, 1487.71, 562.919
4, 1800.00000, 1834.29, 852.319, 1457.03, 800.669, 1562.47, 596.158
4, 2700.00000, 1502.78, 794.316, 1140.55, 744.317, 1238.25, 551.637
5, 0.00000, 1555.52, 820.874, 1183.68, 770.566, 1283.8, 571.813
5, 900.00000, 1530.5, 808.19, 1164.29, 759.376, 1263.35, 562.462
5, 1800.00000, 1537.35, 820.402, 1173.88, 772.068, 1275.42, 574.24
5, 2700.00000, 1525.5, 813.06, 1160.39, 765.169, 1259.55, 567.765
6, 0.00000, 1453.73, 773.716, 1092.31, 724.211, 1184.05, 535.729
6, 900.00000, 1545.04, 819.65, 1150.61, 760.188, 1247.89, 562.675
6, 1800.00000, 1566.87, 829.068, 1147.72, 755.752, 1244.61, 561.842
6, 2700.00000, 1259.79, 794.38, 933.341, 703.862, 1027.86, 536.698
7, 0.00000, 1350.05, 838.41, 994.702, 740.157, 1093.6, 564.472
7, 900.00000, 1375.29, 845.935, 1009.62, 747.722, 1102.97, 571.048
7, 1800.00000, 1141.25, 800.872, 874.112, 679.999, 964.15, 539.249
7, 2700.00000, 1128.08, 793.854, 860.176, 671.021, 948.496, 533.339
8, 0.00000, 1191.69, 822.113, 912.099, 700.252, 999.687, 556.44
8, 900.00000, 1119.05, 788.023, 838.766, 654.998, 923.905, 525.073
8, 1800.00000, 1158.4, 807.83, 873.486, 674.481, 962.676, 539.755
8, 2700.00000, 1101.75, 840.408, 879.298, 692.997, 971.727, 567.247
9, 0.00000, 1181.35, 877.228, 954.319, 731.931, 1046.43, 602.011
9, 900.00000, 1156.98, 866.904, 937.091, 722.092, 1031.05, 593.672
9, 1800.00000, 587.879, 852.705, 546.122, 684.962, 642.161, 592.696
9, 2700.00000, 515.207, 818.576, 481.928, 646.879, 572.98, 566.681
10, 0.00000, 507.687, 816.312, 482.279, 646.767, 574.538, 566.949
10, 900.00000, 560.516, 839.915, 530, 673.333, 623.372, 587.027
10, 1800.00000, 525.321, 823.673, 496.65, 653.635, 588.427, 573.23
10, 2700.00000, -261.44, 866.029, -39.9481, 660.307, 65.0539, 615.828
11, 0.00000, -274.903, 858.259, -54.0078, 652.716, 48.1395, 609.871
11, 900.00000, -342.71, 827.964, -108.401, 621.727, -11.1471, 589.41
11, 1800.00000, -515.315, 875.67, -200.212, 670.047, -94.1897, 635.013
11, 2700.00000, -572.026, 850.028, -245.412, 646.334, -143.757, 617.448
12, 0.00000, -622.375, 828.148, -290.933, 620.992, -191.565, 599.912
12, 900.00000, -490.973, 886.512, -181.664, 680.462, -74.972, 642.885
12, 1800.00000, -505.838, 878.438, -196.343, 673.647, -91.4065, 635.975
12, 2700.00000, -634.015, 883.643, -270.474, 667.904, -160.024, 641.892
13, 0.00000, -653.73, 871.838, -304.77, 651.14, -199.442, 628.149
13, 900.00000, -604.223, 893.429, -261.629, 673.072, -154.029, 645.276
13, 1800.00000, -542.045, 896.491, -198.88, 677.392, -92.9192, 650.675
13, 2700.00000, -367.823, 975.036, -62.6136, 752.265, 54.4206, 704.744
14, 0.00000, -414.663, 954.174, -106.859, 728.674, 8.66024, 686.421
14, 900.00000, -447.622, 940.506, -133.226, 714.342, -17.4154, 675.479
14, 1800.00000, -514.147, 911.115, -189.016, 682.963, -77.6288, 654.426
14, 2700.00000, -631.442, 900.172, -282.711, 673.476, -174.857, 650.71
15, 0.00000, -590.904, 916.378, -261.683, 685.269, -154.275, 659.306
15, 900.00000, -657.83, 888.477, -320.885, 654.198, -214.377, 635.794
15, 1800.00000, -622.429, 908.393, -309.455, 682.789, -201.112, 651.653
15, 2700.00000, -642.682, 899.844, -322.365, 674.52, -214.928, 647.012
16, 0.00000, -610.297, 915.145, -294.899, 691.484, -183.775, 657.12
16, 900.00000, -631.859, 907.901, -309.401, 684.064, -196.118, 651.311
16, 1800.00000, -640.16, 903.484, -308.495, 684.306, -196.569, 651.351
16, 2700.00000, -208.261, 875.792, -47.756, 680.481, 57.1937, 621.123
17, 0.00000, -163.047, 896.228, -3.63831, 705.094, 103.535, 638.911
17, 900.00000, -205.202, 878.375, -5.87373, 702.673, 99.9319, 638.056
17, 1800.00000, 624.597, 870.543, 573.093, 750.15, 672.539, 627.652
17, 2700.00000, 609.319, 865.022, 575.2, 752.158, 675.827, 628.424
18, 0.00000, 576.271, 849.861, 558.141, 746.168, 657.865, 620.16
