hour, t(sec), |V|1 (volts), |V|2 (volts), |V|3 (volts), |V|4 (volts), |I|1 (amps), |I|2 (amps), |I|3 (amps), |I|4 (amps)
0, 900.00000, 127.607, 125.315, 126.099, 0, 1.94002, 39.8627, 39.8218, 37.9911
0, 1800.00000, 127.723, 125.57, 126.34, 0, 1.99262, 37.3282, 37.291, 35.3979
0, 2700.00000, 127.263, 125.198, 125.949, 0, 1.94762, 35.7347, 35.6992, 33.8442
1, 0.00000, 127.171, 124.993, 125.736, 0, 1.99246, 38.1092, 38.0713, 36.1772
1, 900.00000, 127.227, 125.132, 125.867, 0, 1.74061, 36.3092, 36.2737, 34.6251
1, 1800.00000, 127.226, 125.194, 125.917, 0, 1.79861, 35.2232, 35.1895, 33.4787
1, 2700.00000, 127.19, 125.071, 125.793, 0, 1.7098, 36.7849, 36.7495, 35.1331
2, 0.00000, 127.143, 125.034, 125.765, 0, 1.91948, 36.7719, 36.7362, 34.91
2, 900.00000, 127.225, 125.16, 125.891, 0, 1.92835, 35.9029, 35.868, 34.0307
2, 1800.00000, 127.174, 125.11, 125.85, 0, 1.85995, 35.6768, 35.6417, 33.8739
2, 2700.00000, 127.283, 125.341, 126.066, 0, 1.84448, 33.4084, 33.3766, 31.6156
3, 0.00000, 127.424, 125.415, 126.119, 0, 1.77009, 35.0029, 34.9707, 33.2846
3, 900.00000, 127.346, 125.419, 126.132, 0, 1.73257, 33.1982, 33.1673, 31.5154
3, 1800.00000, 127.839, 126.001, 126.704, 0, 1.74454, 31.5642, 31.5362, 29.8663
3, 2700.00000, 127.63, 125.664, 126.396, 0, 2.05685, 34.1258, 34.0937, 32.1215
4, 0.00000, 127.698, 125.755, 126.483, 0, 1.78436, 33.4549, 33.4235, 31.7216
4, 900.00000, 127.744, 125.734, 126.465, 0, 1.91391, 34.9708, 34.938, 33.1098
4, 1800.00000, 127.589, 125.539, 126.311, 0, 1.78312, 35.1491, 35.114, 33.4226
4, 2700.00000, 128.138, 126.264, 127.003, 0, 1.78365, 31.9606, 31.9315, 30.2269
5, 0.00000, 128.043, 126.138, 126.897, 0, 1.75675, 32.3344, 32.3038, 30.6298
5, 900.00000, 128.074, 126.197, 126.945, 0, 2.00328, 32.116, 32.0861, 30.1637
5, 1800.00000, 128.051, 126.153, 126.894, 0, 2.00757, 32.666, 32.6359, 30.7095
5, 2700.00000, 128.086, 126.248, 126.993, 0, 1.88666, 31.2364, 31.2075, 29.3993
6, 0.00000, 128.235, 126.53, 127.266, 0, 1.89684, 28.6037, 28.578, 26.7523
6, 900.00000, 128.097, 126.263, 127.065, 0, 1.61958, 30.2844, 30.2544, 28.7165
6, 1800.00000, 128.069, 126.009, 126.862, 0, 1.87471, 34.6463, 34.6092, 32.8332
6, 2700.00000, 128.501, 126.934, 127.624, 0, 2.76621, 21.8326, 21.8473, 23.7351
7, 0.00000, 128.219, 126.738, 127.487, 0, 1.78503, 22.1374, 22.153, 21.393
7, 900.00000, 128.312, 126.798, 127.566, 0, 2.44169, 20.2617, 20.2783, 21.7162
7, 1800.00000, 128.621, 127.61, 128.205, 0, 6.58168, 11.803, 11.7698, 13.7585
7, 2700.00000, 128.667, 127.786, 128.382, 0, 6.85106, 10.492, 10.4352, 11.4942
8, 0.00000, 128.452, 127.559, 128.18, 0, 4.98806, 11.3902, 11.3491, 11.3785
8, 900.00000, 128.393, 127.639, 128.259, 0, 3.43957, 12.1333, 12.1034, 9.3293
8, 1800.00000, 128.127, 127.259, 127.89, 0, 5.58563, 16.5226, 16.5247, 11.0477
8, 2700.00000, 128.038, 127.432, 127.961, 0, 5.77249, 15.717, 15.6548, 10.086
9, 0.00000, 127.574, 126.901, 127.44, 0, 10.8117, 20.1935, 20.176, 10.5663
9, 900.00000, 127.428, 126.84, 127.366, 0, 14.1932, 21.7728, 21.7646, 9.97275
9, 1800.00000, 128.098, 128.423, 128.643, 0, 10.8513, 24.2361, 24.1456, 20.6722
9, 2700.00000, 127.981, 128.287, 128.49, 0, 14.8116, 23.2331, 23.1616, 20.2098
10, 0.00000, 128.075, 128.55, 128.738, 0, 13.3071, 23.9945, 23.9186, 22.4878
10, 900.00000, 127.844, 128.185, 128.382, 0, 15.6793, 23.2509, 23.1822, 20.6956
10, 1800.00000, 127.838, 128.329, 128.521, 0, 16.9938, 23.3144, 23.2442, 22.7764
10, 2700.00000, 128.683, 130.24, 130.018, 0, 13.9812, 47.3845, 47.5432, 43.7998
11, 0.00000, 128.817, 130.341, 130.12, 0, 13.1638, 48.3479, 48.5059, 43.308
11, 900.00000, 128.948, 130.418, 130.17, 0, 13.0279, 47.5795, 47.7562, 42.0885
11, 1800.00000, 128.892, 130.625, 130.244, 0, 14.6782, 52.3949, 52.6938, 47.2633
11, 2700.00000, 128.972, 130.74, 130.335, 0, 14.815, 52.4089, 52.7261, 47.6733
12, 0.00000, 129.2, 130.911, 130.496, 0, 13.9229, 53.4364, 53.7615, 46.556
12, 900.00000, 129.038, 130.677, 130.306, 0, 13.7606, 53.8338, 54.1261, 45.8687
12, 1800.00000, 129.283, 130.842, 130.471, 0, 13.9747, 55.8097, 56.1008, 44.586
12, 2700.00000, 129.43, 131.247, 130.785, 0, 15.3556, 62.3584, 62.7432, 49.2817
13, 0.00000, 129.431, 131.344, 130.91, 0, 15.0348, 63.335, 63.6953, 51.2424
13, 900.00000, 129.301, 131.133, 130.712, 0, 14.8293, 61.5419, 61.8933, 49.9783
13, 1800.00000, 129.366, 131.11, 130.688, 0, 15.8306, 62.6898, 63.042, 48.579
13, 2700.00000, 128.824, 130.431, 130.083, 0, 14.6491, 57.8318, 58.1239, 46.9992
14, 0.00000, 128.786, 130.501, 130.148, 0, 14.6211, 57.5472, 57.842, 48.6464
14, 900.00000, 128.864, 130.687, 130.321, 0, 14.5792, 59.275, 59.5805, 50.3113
14, 1800.00000, 129.049, 130.846, 130.457, 0, 14.5602, 59.6155, 59.9395, 49.6163
14, 2700.00000, 129.205, 131.041, 130.609, 0, 14.7213, 60.3218, 60.6861, 50.1825
15, 0.00000, 129.012, 130.819, 130.426, 0, 14.8384, 58.2953, 58.6269, 50.0423
15, 900.00000, 129.057, 130.992, 130.582, 0, 15.0561, 58.9084, 59.2534, 51.9637
15, 1800.00000, 128.994, 130.69, 130.322, 0, 14.9926, 54.0005, 54.3018, 47.6477
15, 2700.00000, 129.146, 130.79, 130.407, 0, 14.4143, 54.7849, 55.0983, 46.6202
16, 0.00000, 129.098, 130.7, 130.327, 0, 14.3777, 54.5703, 54.8759, 46.035
16, 900.00000, 129.303, 130.933, 130.546, 0, 14.3801, 57.2416, 57.5588, 46.3326
16, 1800.00000, 129.353, 131.058, 130.654, 0, 14.5031, 58.802, 59.1334, 47.4936
16, 2700.00000, 128.851, 129.956, 129.833, 0, 12.2766, 40.4946, 40.574, 35.412
17, 0.00000, 128.772, 129.725, 129.607, 0, 12.2291, 38.9381, 39.0138, 33.1009
17, 900.00000, 128.816, 129.882, 129.686, 0, 12.2166, 39.7507, 39.8768, 34.2794
17, 1800.00000, 127.994, 127.878, 128.098, 0, 13.0273, 20.4915, 20.4498, 13.451
17, 2700.00000, 128.073, 127.979, 128.166, 0, 11.7985, 20.0354, 19.9959, 13.4704
18, 0.00000, 128.206, 128.146, 128.299, 0, 10.356, 19.5653, 19.5279, 13.6047
18, 900.00000, 128.063, 127.833, 127.977, 0, 8.56178, 19.7976, 19.7642, 12.8067
18, 1800.00000, 128.361, 127.891, 128.025, 0, 6.76045, 19.5867, 19.5529, 13.171
18, 2700.00000, 127.209, 125.633, 126.253, 0, 9.15111, 33.2302, 33.2364, 24.1716
19, 0.00000, 127.269, 125.72, 126.344, 0, 5.92921, 29.4182, 29.4268, 23.6233
19, 900.00000, 127.469, 125.916, 126.517, 0, 3.46347, 27.1602, 27.1699, 23.9862
