hour, t(sec), |V|1 (volts), |V|2 (volts), |V|3 (volts), |V|4 (volts), |I|1 (amps), |I|2 (amps), |I|3 (amps), |I|4 (amps)
0, 900.00000, 124.142, 125.328, 126.029, 0, 146.936, 101.034, 93.9882, 49.8345
0, 1800.00000, 124.331, 125.476, 126.187, 0, 143.547, 99.082, 91.4149, 48.801
0, 2700.00000, 124.444, 125.542, 126.182, 0, 134.061, 91.2602, 85.4111, 46.0206
1, 0.00000, 124.125, 125.304, 125.958, 0, 141.993, 96.8174, 90.5204, 48.6576
1, 900.00000, 124.186, 125.345, 126.017, 0, 140.991, 96.5566, 89.5162, 48.3828
1, 1800.00000, 124.399, 125.524, 126.152, 0, 134.873, 91.5374, 85.6123, 46.603
1, 2700.00000, 124.368, 125.443, 126.095, 0, 134.954, 93.0705, 86.4412, 45.5911
2, 0.00000, 124.295, 125.385, 126.054, 0, 136.495, 94.1829, 87.165, 46.2614
2, 900.00000, 124.429, 125.509, 126.159, 0, 134.121, 92.0775, 85.545, 45.6902
2, 1800.00000, 124.244, 125.315, 126.035, 0, 138.756, 96.9138, 88.358, 46.7756
2, 2700.00000, 124.466, 125.522, 126.212, 0, 134.001, 92.8095, 84.8947, 45.7203
3, 0.00000, 124.763, 125.786, 126.393, 0, 127.591, 87.6968, 81.9201, 43.0924
3, 900.00000, 124.429, 125.477, 126.194, 0, 136.265, 95.5419, 86.5703, 45.9464
3, 1800.00000, 124.957, 125.943, 126.61, 0, 127.552, 88.7867, 81.0852, 43.1846
3, 2700.00000, 124.519, 125.586, 126.3, 0, 137.146, 95.5942, 87.067, 46.4737
4, 0.00000, 124.633, 125.688, 126.381, 0, 134.74, 93.6162, 85.6539, 45.6853
4, 900.00000, 124.822, 125.847, 126.489, 0, 129.991, 89.8284, 83.4327, 43.7402
4, 1800.00000, 124.565, 125.604, 126.306, 0, 134.752, 93.7051, 86.1611, 45.3375
4, 2700.00000, 125.104, 126.085, 126.754, 0, 127.084, 88.0833, 80.874, 43.099
5, 0.00000, 124.813, 125.822, 126.562, 0, 134.215, 94.1739, 85.0996, 45.3364
5, 900.00000, 125.025, 125.98, 126.694, 0, 128.49, 90.2178, 81.7699, 43.1794
5, 1800.00000, 124.927, 125.959, 126.64, 0, 130.837, 90.2174, 82.7878, 44.8441
5, 2700.00000, 124.896, 125.893, 126.631, 0, 132.401, 92.8335, 83.6202, 44.9627
6, 0.00000, 125.193, 126.111, 126.85, 0, 126.236, 89.1406, 79.5631, 42.7721
6, 900.00000, 124.917, 125.877, 126.656, 0, 131.916, 92.9252, 83.2516, 44.6968
6, 1800.00000, 124.955, 125.935, 126.648, 0, 130.607, 90.5991, 83.6606, 43.9152
6, 2700.00000, 125.592, 126.515, 126.966, 0, 111.487, 76.7872, 78.66, 30.188
7, 0.00000, 125.344, 126.275, 126.821, 0, 116.303, 80.8169, 80.6744, 32.1388
7, 900.00000, 125.419, 126.321, 126.847, 0, 113.491, 78.4776, 79.2545, 31.1107
7, 1800.00000, 126.2, 126.983, 127.238, 0, 88.9809, 61.5103, 70.6213, 15.5432
7, 2700.00000, 126.304, 127.054, 127.327, 0, 86.3291, 59.9006, 68.3976, 14.7578
8, 0.00000, 126.194, 126.942, 127.241, 0, 87.6198, 60.8838, 68.9566, 15.2406
8, 900.00000, 126.419, 127.155, 127.436, 0, 83.5544, 57.4253, 65.8294, 14.4952
8, 1800.00000, 126.256, 127.023, 127.292, 0, 87.1165, 59.9279, 68.9935, 15.2746
8, 2700.00000, 126.391, 127.191, 127.247, 0, 77.98, 52.4129, 68.4888, 8.73619
9, 0.00000, 126.263, 127.061, 127.131, 0, 78.9197, 53.2006, 69.0797, 8.76892
9, 900.00000, 126.35, 127.136, 127.198, 0, 76.9482, 51.8226, 67.6865, 8.36152
9, 1800.00000, 127.249, 128.06, 127.654, 0, 54.3945, 35.6138, 60.6714, 19.9546
9, 2700.00000, 127.496, 128.272, 127.827, 0, 50.2003, 32.9725, 57.8149, 21.7581
10, 0.00000, 127.409, 128.201, 127.81, 0, 52.4733, 34.7141, 58.3178, 19.6294
10, 900.00000, 127.417, 128.201, 127.767, 0, 50.6435, 33.1647, 57.7462, 21.2473
10, 1800.00000, 127.578, 128.354, 127.914, 0, 47.6658, 30.936, 54.4363, 21.5744
10, 2700.00000, 128.337, 129.264, 128.216, 0, 47.5299, 37.8594, 53.2288, 47.8271
11, 0.00000, 128.466, 129.378, 128.294, 0, 47.0051, 38.3248, 51.3218, 49.1883
11, 900.00000, 128.822, 129.648, 128.509, 0, 46.8167, 39.8629, 46.6672, 52.9065
11, 1800.00000, 128.632, 129.577, 128.318, 0, 51.4704, 43.1269, 52.2928, 56.7705
11, 2700.00000, 128.713, 129.648, 128.388, 0, 51.4478, 43.0966, 51.8344, 56.8388
12, 0.00000, 129.141, 130.011, 128.661, 0, 53.2775, 46.7551, 45.0544, 61.2129
12, 900.00000, 128.652, 129.579, 128.309, 0, 51.5579, 43.458, 51.8055, 57.6192
12, 1800.00000, 128.623, 129.556, 128.279, 0, 51.4702, 43.0426, 53.349, 57.5712
12, 2700.00000, 128.772, 129.763, 128.351, 0, 55.1894, 47.3568, 52.2584, 62.4616
13, 0.00000, 128.958, 129.86, 128.495, 0, 55.992, 48.165, 49.0602, 63.6568
13, 900.00000, 128.803, 129.743, 128.369, 0, 55.4151, 47.4834, 51.3251, 62.893
13, 1800.00000, 128.77, 129.735, 128.324, 0, 55.5336, 48.0286, 51.1904, 63.2039
13, 2700.00000, 128.255, 129.328, 127.95, 0, 54.8638, 46.027, 57.5898, 59.8982
14, 0.00000, 128.482, 129.518, 128.127, 0, 55.0073, 47.3594, 53.7778, 61.2949
14, 900.00000, 128.456, 129.513, 128.141, 0, 54.8478, 46.8167, 54.3669, 60.1024
14, 1800.00000, 128.702, 129.725, 128.303, 0, 55.333, 48.3244, 51.4832, 62.3282
14, 2700.00000, 128.782, 129.828, 128.367, 0, 56.0832, 49.1081, 51.6499, 63.1373
15, 0.00000, 128.696, 129.714, 128.295, 0, 55.854, 48.2265, 53.0529, 62.8061
15, 900.00000, 128.885, 129.866, 128.46, 0, 56.3841, 49.0712, 50.1912, 63.4485
15, 1800.00000, 128.537, 129.574, 128.237, 0, 53.7514, 44.8348, 56.3489, 58.6128
15, 2700.00000, 128.808, 129.838, 128.409, 0, 54.2298, 47.5041, 51.4667, 61.4592
16, 0.00000, 128.613, 129.634, 128.27, 0, 53.8038, 45.5861, 54.7642, 59.9134
16, 900.00000, 128.482, 129.54, 128.202, 0, 53.8045, 44.4967, 57.4688, 58.1371
16, 1800.00000, 128.565, 129.558, 128.248, 0, 53.7456, 44.5797, 55.9851, 58.9841
16, 2700.00000, 128.116, 129.031, 128.127, 0, 46.6761, 34.568, 56.3027, 40.8656
17, 0.00000, 127.916, 128.868, 127.961, 0, 48.7529, 35.1414, 59.7914, 40.0084
17, 900.00000, 128.164, 129.089, 128.119, 0, 45.6059, 34.3737, 54.8876, 42.1338
17, 1800.00000, 126.803, 127.694, 127.44, 0, 66.9476, 43.4153, 65.7598, 11.0057
