hour, t(sec), |V|1 (volts), |V|2 (volts), |V|3 (volts), |V|4 (volts), |I|1 (amps), |I|2 (amps), |I|3 (amps), |I|4 (amps)
0, 900.00000, 124.028, 123.296, 125.561, 0, 280.127, 303.227, 189.208, 105.648
0, 1800.00000, 124.236, 123.521, 125.786, 0, 277.251, 299.797, 183.917, 107.6
0, 2700.00000, 129.527, 128.802, 130.891, 0, 252.18, 273.455, 169.036, 96.5405
1, 0.00000, 129.215, 128.464, 130.626, 0, 267.573, 291.256, 181.078, 101.486
1, 900.00000, 129.259, 128.518, 130.701, 0, 268.185, 291.58, 178.856, 104.054
1, 1800.00000, 123.553, 122.867, 124.965, 0, 254.478, 277.928, 171.238, 98.152
1, 2700.00000, 123.373, 122.672, 124.815, 0, 264.538, 288.576, 178.817, 101.018
2, 0.00000, 123.283, 122.569, 124.748, 0, 267.832, 292.844, 180.97, 102.817
2, 900.00000, 123.492, 122.797, 124.925, 0, 260.727, 284.492, 175.655, 100.178
2, 1800.00000, 123.187, 122.483, 124.74, 0, 278.629, 302.39, 184.185, 109.441
2, 2700.00000, 123.493, 122.804, 124.986, 0, 264.709, 288.247, 174.341, 105.207
3, 0.00000, 123.897, 123.275, 125.29, 0, 248.311, 268.045, 164.979, 95.7211
3, 900.00000, 123.444, 122.815, 125.036, 0, 274.017, 293.415, 175.224, 110.871
3, 1800.00000, 123.795, 123.166, 125.288, 0, 257.04, 277.193, 165.444, 104.147
3, 2700.00000, 123.305, 122.638, 124.89, 0, 273.957, 295.634, 176.902, 110.63
4, 0.00000, 123.464, 122.81, 125.008, 0, 267.215, 288.241, 173.115, 107.266
4, 900.00000, 123.7, 123.072, 125.157, 0, 254.959, 274.322, 167.693, 99.42
4, 1800.00000, 123.305, 122.62, 124.852, 0, 269.506, 291.345, 176.472, 106.801
4, 2700.00000, 123.773, 123.105, 125.205, 0, 252.436, 274.433, 166.761, 99.5386
5, 0.00000, 123.382, 122.684, 124.935, 0, 273.101, 296.577, 178.576, 109.304
5, 900.00000, 123.55, 122.85, 125.049, 0, 265.014, 288.976, 174.441, 105.698
5, 1800.00000, 123.564, 122.846, 124.987, 0, 258.088, 283.925, 174.066, 100.541
5, 2700.00000, 123.471, 122.762, 124.975, 0, 267.589, 292.26, 176.601, 106.585
6, 0.00000, 123.811, 123.125, 125.279, 0, 257.941, 281.014, 168.189, 104.231
6, 900.00000, 123.503, 122.792, 125.042, 0, 266.627, 289.324, 173.53, 107.391
6, 1800.00000, 123.671, 122.962, 125.095, 0, 254.303, 276.097, 171.618, 96.5819
6, 2700.00000, 123.823, 123.167, 125.3, 0, 254.346, 272.053, 166.676, 98.8307
7, 0.00000, 123.442, 122.743, 125.042, 0, 267.679, 286.575, 172.148, 107.468
7, 900.00000, 123.532, 122.791, 125.02, 0, 259.558, 280.143, 172.574, 100.088
7, 1800.00000, 123.829, 123.077, 125.244, 0, 255.976, 279.149, 174.078, 96.7563
7, 2700.00000, 123.901, 123.107, 125.279, 0, 253.419, 280.202, 174.418, 96.3834
8, 0.00000, 123.705, 122.819, 125.04, 0, 258.539, 291.222, 183.817, 96.5516
8, 900.00000, 124.038, 123.116, 125.275, 0, 248.962, 286.232, 181.86, 92.75
8, 1800.00000, 123.818, 122.879, 125.089, 0, 258.524, 296.885, 189.823, 95.1677
8, 2700.00000, 122.84, 121.851, 124.113, 0, 265.629, 306.559, 198.798, 95.5628
9, 0.00000, 122.571, 121.499, 123.78, 0, 273.42, 320.198, 212.102, 95.3423
9, 900.00000, 122.631, 121.575, 123.877, 0, 272.457, 318.916, 208.189, 97.7085
9, 1800.00000, 123.422, 122.376, 124.672, 0, 266.751, 312.082, 201.501, 97.6257
9, 2700.00000, 123.772, 122.738, 124.913, 0, 255.595, 301.23, 197.705, 91.1322
10, 0.00000, 123.66, 122.639, 124.887, 0, 263.823, 309.177, 198.865, 97.2878
10, 900.00000, 123.609, 122.553, 124.744, 0, 257.511, 304.571, 200.617, 91.4655
10, 1800.00000, 123.859, 122.805, 124.945, 0, 246.279, 294.017, 193.046, 88.7246
10, 2700.00000, 125.209, 124.104, 126.48, 0, 270.727, 319.97, 203.299, 102.775
11, 0.00000, 123.502, 122.432, 124.724, 0, 260.78, 308.427, 197.968, 97.274
11, 900.00000, 123.873, 122.806, 124.912, 0, 245.35, 294.616, 196.052, 86.6178
11, 1800.00000, 121.245, 120.224, 122.538, 0, 276.218, 322.376, 208.406, 100.922
11, 2700.00000, 121.432, 120.431, 122.688, 0, 272.097, 317.237, 206.032, 98.3307
12, 0.00000, 121.947, 120.941, 122.997, 0, 245.069, 291.615, 194.927, 84.9902
12, 900.00000, 121.236, 120.189, 122.452, 0, 271.882, 319.633, 211.107, 95.898
12, 1800.00000, 121.258, 120.222, 122.487, 0, 274.904, 321.803, 212.733, 96.4409
12, 2700.00000, 121.027, 120.049, 122.289, 0, 270.982, 314.587, 206.593, 95.8432
13, 0.00000, 121.15, 120.178, 122.464, 0, 270.773, 312.502, 201.486, 98.7697
13, 900.00000, 120.98, 120.015, 122.314, 0, 274.22, 314.935, 204.098, 98.9025
13, 1800.00000, 120.58, 119.562, 121.757, 0, 266.687, 312.599, 209.322, 91.5574
13, 2700.00000, 119.965, 118.884, 121.222, 0, 280.731, 329.517, 220.677, 96.4538
14, 0.00000, 120.2, 119.122, 121.445, 0, 273, 321.944, 213.487, 96.0845
14, 900.00000, 120.217, 119.159, 121.523, 0, 277.03, 325.112, 212.275, 100.086
14, 1800.00000, 120.547, 119.49, 121.718, 0, 264.692, 313.729, 209.819, 92.013
14, 2700.00000, 116.285, 115.3, 117.32, 0, 252.023, 300.56, 205.286, 83.9842
15, 0.00000, 123.105, 121.939, 124.267, 0, 271.525, 325.149, 215.315, 96.6318
15, 900.00000, 123.34, 122.209, 124.503, 0, 266.108, 318.239, 209.15, 95.9275
15, 1800.00000, 122.998, 121.843, 124.214, 0, 280.969, 334.615, 220.6, 100.323
15, 2700.00000, 123.409, 122.301, 124.457, 0, 253.758, 304.515, 206.33, 86.4728
16, 0.00000, 123.023, 121.879, 124.189, 0, 274.287, 327.197, 218.367, 95.7917
16, 900.00000, 122.918, 121.83, 124.202, 0, 284.356, 333.458, 218.699, 101.239
16, 1800.00000, 122.876, 121.817, 124.231, 0, 288.999, 335.787, 216.937, 105.177
16, 2700.00000, 123.248, 122.217, 124.498, 0, 268.361, 312.993, 203.907, 96.3676
17, 0.00000, 122.993, 121.956, 124.283, 0, 278.543, 323.353, 211.582, 98.8808
17, 900.00000, 123.273, 122.265, 124.44, 0, 259.413, 304.263, 200.636, 91.3191
17, 1800.00000, 124.851, 123.821, 126.024, 0, 264.847, 309.907, 203.057, 94.1716
17, 2700.00000, 124.829, 123.833, 126.037, 0, 265.298, 308.594, 199.924, 95.964
18, 0.00000, 124.959, 123.975, 126.118, 0, 257.289, 300.289, 195.252, 92.6197
18, 900.00000, 124.334, 123.312, 125.55, 0, 270.566, 315.972, 206.591, 96.4839
18, 1800.00000, 124.378, 123.353, 125.502, 0, 266.821, 312.918, 209.936, 90.6653
18, 2700.00000, 128.641, 127.61, 129.778, 0, 264.904, 308.48, 203.908, 92.1949
19, 0.00000, 128.256, 127.23, 129.573, 0, 282.542, 324.682, 207.919, 103.685
19, 900.00000, 128.464, 127.49, 129.761, 0, 273.066, 311.782, 198.869, 100.566
19, 1800.00000, 127.907, 126.947, 129.18, 0, 276.398, 314.426, 205.122, 97.3554
19, 2700.00000, 127.796, 126.829, 129.106, 0, 273.094, 311.477, 201.241, 98.2159
20, 0.00000, 127.928, 126.929, 129.225, 0, 272.175, 312.879, 199.439, 100.763
20, 900.00000, 121.855, 120.935, 123.478, 0, 294.683, 332.69, 203.425, 116.55
20, 1800.00000, 122.229, 121.333, 123.706, 0, 282.326, 318.278, 199.927, 106.462
20, 2700.00000, 121.782, 120.907, 123.315, 0, 294.343, 328.753, 208.587, 108.656
21, 0.00000, 121.764, 120.837, 123.219, 0, 283.119, 319.297, 204.128, 103.485
21, 900.00000, 121.896, 121.023, 123.478, 0, 292.598, 325.776, 202.284, 112.132
21, 1800.00000, 118.292, 117.533, 119.798, 0, 282.622, 310.957, 196.635, 104.755
21, 2700.00000, 118.201, 117.48, 119.76, 0, 289.798, 315.707, 199.695, 107.151
22, 0.00000, 118.484, 117.768, 120, 0, 281.321, 306.907, 193.099, 104.997
22, 900.00000, 118.453, 117.708, 119.921, 0, 278.282, 305.717, 194.012, 102.398
22, 1800.00000, 118.337, 117.591, 119.86, 0, 285.472, 313.239, 196.669, 107.065
22, 2700.00000, 120.151, 119.374, 121.59, 0, 266.309, 295.46, 185.472, 100.356
23, 0.00000, 119.837, 119.075, 121.426, 0, 284.914, 312.192, 193.184, 109.764
23, 900.00000, 120.235, 119.471, 121.671, 0, 269.122, 297.591, 188.769, 99.4372
23, 1800.00000, 123.863, 123.015, 125.39, 0, 279.221, 309.832, 190.169, 108.945
23, 2700.00000, 123.94, 123.114, 125.463, 0, 281.946, 311.609, 192.427, 108.725
24, 0.00000, 123.754, 122.934, 125.386, 0, 292.203, 320.858, 194.36, 116.193
24, 900.00000, 124.028, 123.296, 125.562, 0, 280.127, 303.228, 189.208, 105.649
