hour, t(sec), |V|1 (volts), |V|2 (volts), |V|3 (volts), |V|4 (volts), |I|1 (amps), |I|2 (amps), |I|3 (amps), |I|4 (amps)
0, 900.00000, 130.811, 129.812, 130.872, 0, 237.743, 284.892, 251.814, 43.1279
0, 1800.00000, 131.014, 130.042, 131.069, 0, 229.476, 275.315, 243.832, 41.746
0, 2700.00000, 123.672, 122.782, 123.775, 0, 219.552, 265.047, 232.852, 41.5317
1, 0.00000, 123.486, 122.601, 123.601, 0, 227.914, 273.132, 240.336, 41.5143
1, 900.00000, 123.572, 122.7, 123.696, 0, 223.818, 268.378, 235.415, 41.0639
1, 1800.00000, 118.382, 117.625, 118.51, 0, 214.468, 255.062, 225.481, 36.9911
1, 2700.00000, 118.275, 117.492, 118.37, 0, 220.625, 262.923, 234.07, 38.0639
2, 0.00000, 118.187, 117.403, 118.289, 0, 225.543, 267.998, 238.86, 38.2582
2, 900.00000, 118.369, 117.589, 118.469, 0, 216.282, 258.461, 229.581, 37.9689
2, 1800.00000, 118.253, 117.456, 118.339, 0, 222.036, 265.223, 236.643, 38.6809
2, 2700.00000, 118.786, 118.022, 118.903, 0, 213.571, 254.406, 225.348, 37.0274
3, 0.00000, 125.874, 125.03, 125.97, 0, 204.049, 246.921, 216.184, 39.1636
3, 900.00000, 125.718, 124.862, 125.81, 0, 210.553, 253.834, 223.429, 39.4254
3, 1800.00000, 125.887, 125.044, 125.992, 0, 202.779, 245.63, 214.288, 39.2973
3, 2700.00000, 125.524, 124.634, 125.617, 0, 218.391, 263.741, 231.84, 41.3384
4, 0.00000, 125.62, 124.708, 125.676, 0, 214.555, 262.059, 230.976, 42.7576
4, 900.00000, 125.75, 124.846, 125.805, 0, 208.082, 255.345, 224.729, 42.4565
4, 1800.00000, 125.446, 124.469, 125.484, 0, 221.624, 273.034, 240.559, 46.0896
4, 2700.00000, 132.582, 131.621, 132.587, 0, 206.468, 253.282, 223.969, 41.9426
5, 0.00000, 132.427, 131.453, 132.45, 0, 212.527, 259.268, 228.889, 42.1108
5, 900.00000, 132.476, 131.508, 132.497, 0, 211.732, 258.488, 227.972, 42.13
5, 1800.00000, 136.942, 135.954, 136.915, 0, 219.575, 265.513, 236.972, 40.9685
5, 2700.00000, 136.982, 136.003, 136.954, 0, 218.167, 262.926, 235.347, 39.9023
6, 0.00000, 137.222, 136.261, 137.17, 0, 208.239, 251.834, 226.984, 38.6026
