hour, t(sec), |V|1 (volts), |V|2 (volts), |V|3 (volts), |V|4 (volts), |I|1 (amps), |I|2 (amps), |I|3 (amps), |I|4 (amps)
0, 900.00000, 129.978, 129.155, 130.574, 0, 207.506, 233.893, 186.274, 42.4053
0, 1800.00000, 130.162, 129.374, 130.774, 0, 204.602, 228.947, 181.367, 42.228
0, 2700.00000, 122.729, 122.069, 123.395, 0, 206.068, 226.995, 182.007, 40.032
1, 0.00000, 122.654, 121.985, 123.302, 0, 202.1, 223.99, 179.818, 39.2956
1, 900.00000, 122.772, 122.128, 123.417, 0, 196.266, 216.637, 174.089, 37.8537
1, 1800.00000, 117.608, 117.06, 118.208, 0, 190.829, 209.117, 171.075, 33.8997
1, 2700.00000, 117.645, 117.05, 118.209, 0, 183.512, 205.243, 166.655, 34.4155
2, 0.00000, 117.369, 116.787, 118.025, 0, 203.461, 223.97, 179.304, 39.7436
2, 900.00000, 117.642, 117.046, 118.213, 0, 188.837, 210.878, 171.458, 35.1506
2, 1800.00000, 117.575, 116.932, 118.142, 0, 188.319, 213.774, 171.697, 37.6424
2, 2700.00000, 118.062, 117.465, 118.637, 0, 186.247, 208.308, 168.404, 35.5365
3, 0.00000, 125.079, 124.451, 125.664, 0, 184.88, 204.678, 164.696, 35.4955
3, 900.00000, 124.878, 124.186, 125.486, 0, 191.213, 215.555, 169.917, 40.4822
3, 1800.00000, 125.115, 124.503, 125.722, 0, 181.75, 200.077, 159.819, 35.7506
3, 2700.00000, 124.628, 123.938, 125.278, 0, 201.508, 224.711, 177.572, 41.8155
4, 0.00000, 124.681, 124.028, 125.367, 0, 203.018, 223.49, 175.679, 42.5007
4, 900.00000, 124.759, 124.106, 125.429, 0, 203.259, 224.16, 177.084, 41.8086
4, 1800.00000, 124.484, 123.755, 125.146, 0, 209.602, 234.65, 185.528, 43.6169
4, 2700.00000, 131.631, 130.882, 132.232, 0, 200.207, 223.261, 175.248, 42.4862
5, 0.00000, 131.636, 130.843, 132.192, 0, 189.092, 214.729, 168.766, 40.808
5, 900.00000, 131.657, 130.907, 132.25, 0, 192.432, 214.866, 168.568, 40.9807
5, 1800.00000, 135.945, 135.165, 136.528, 0, 213.906, 236.026, 187.077, 43.474
5, 2700.00000, 136.102, 135.282, 136.646, 0, 202.024, 227.372, 178.344, 43.4395
6, 0.00000, 136.38, 135.554, 136.903, 0, 193.55, 219.874, 170.638, 43.5818
6, 900.00000, 136.092, 135.216, 136.649, 0, 204.428, 231.891, 180.389, 45.6672
6, 1800.00000, 124.848, 124.029, 125.442, 0, 193.004, 223.658, 174.808, 43.8233
6, 2700.00000, 125.086, 124.281, 125.682, 0, 184.099, 214.005, 165.613, 43.2921
7, 0.00000, 124.747, 123.861, 125.374, 0, 196.608, 230.876, 177.532, 47.9573
7, 900.00000, 124.783, 123.742, 125.291, 0, 192.927, 238.663, 183.26, 52.4649
7, 1800.00000, 125.161, 124.187, 125.691, 0, 179.745, 221.559, 167.306, 50.2848
7, 2700.00000, 125.2, 124.238, 125.759, 0, 179.581, 220.433, 164.387, 51.2325
8, 0.00000, 125.186, 124.162, 125.681, 0, 170.346, 214.794, 160.968, 50.8492
8, 900.00000, 125.469, 124.516, 125.981, 0, 162.616, 202.529, 151.455, 47.4684
8, 1800.00000, 125.293, 124.342, 125.838, 0, 169.426, 208.842, 156.533, 48.2095
8, 2700.00000, 125.016, 124.022, 125.61, 0, 180.019, 220.757, 164.042, 51.7519
9, 0.00000, 124.908, 123.804, 125.413, 0, 175.383, 224.664, 166.926, 55.1502
9, 900.00000, 124.932, 123.918, 125.494, 0, 176.852, 219.279, 163.791, 51.3531
9, 1800.00000, 124.8, 123.71, 125.345, 0, 189.14, 238.15, 177.354, 57.0369
9, 2700.00000, 125.272, 124.179, 125.7, 0, 165.009, 215.994, 161.931, 53.6464
10, 0.00000, 125.23, 124.175, 125.709, 0, 168.05, 216.37, 160.455, 53.5632
10, 900.00000, 124.997, 123.873, 125.458, 0, 178.126, 231.093, 172.358, 57.2071
10, 1800.00000, 125.145, 124.147, 125.695, 0, 174.014, 217.169, 160.314, 52.4206
10, 2700.00000, 124.771, 123.759, 125.377, 0, 186.802, 229.843, 170.62, 54.1616
11, 0.00000, 124.936, 123.943, 125.507, 0, 177.814, 219.119, 163.977, 50.7887
11, 900.00000, 125.243, 124.259, 125.761, 0, 166.189, 208.393, 155.039, 49.7383
11, 1800.00000, 124.671, 123.531, 125.145, 0, 190.11, 244.608, 184.148, 58.9324
11, 2700.00000, 124.9, 123.789, 125.389, 0, 181.302, 234.259, 172.642, 58.8826
12, 0.00000, 125.117, 124.133, 125.638, 0, 176.621, 219.913, 164.327, 51.5933
12, 900.00000, 124.519, 123.425, 125.103, 0, 198.729, 248.607, 183.57, 60.1565
12, 1800.00000, 124.64, 123.559, 125.198, 0, 192.593, 241.372, 179.317, 57.7872
12, 2700.00000, 124.487, 123.43, 125.094, 0, 203.256, 251.081, 186.363, 59.3626
13, 0.00000, 124.705, 123.621, 125.279, 0, 193.235, 242.299, 178.902, 58.7719
13, 900.00000, 124.582, 123.47, 125.139, 0, 193.972, 244.697, 181.734, 59.0565
13, 1800.00000, 124.657, 123.53, 125.159, 0, 186.959, 239.056, 178.941, 57.7475
13, 2700.00000, 123.974, 122.884, 124.632, 0, 210.235, 255.723, 192.917, 57.609
14, 0.00000, 124.077, 123.027, 124.736, 0, 212.33, 254.98, 194.45, 55.2797
14, 900.00000, 124.073, 123.049, 124.763, 0, 217.875, 259.201, 197.313, 56.0064
14, 1800.00000, 124.448, 123.461, 125.107, 0, 200.147, 239.833, 180.637, 53.4951
14, 2700.00000, 124.558, 123.527, 125.163, 0, 196.011, 240.15, 179.743, 55.3507
15, 0.00000, 124.545, 123.33, 124.996, 0, 190.672, 248.693, 188.207, 60.6172
15, 900.00000, 124.656, 123.559, 125.228, 0, 194.212, 243.555, 180.963, 58.3635
15, 1800.00000, 124.537, 123.407, 125.081, 0, 192.153, 243.77, 181.874, 58.7134
15, 2700.00000, 124.565, 123.518, 125.131, 0, 195.841, 241.301, 182.926, 54.3505
16, 0.00000, 124.358, 123.257, 124.942, 0, 203.163, 252.327, 189.718, 58.4029
16, 900.00000, 124.368, 123.307, 125.003, 0, 203.61, 250.431, 186.04, 58.9217
16, 1800.00000, 124.445, 123.385, 125.083, 0, 198.081, 244.985, 179.702, 59.5202
16, 2700.00000, 124.491, 123.424, 125.123, 0, 203.793, 251.337, 185.143, 60.3493
17, 0.00000, 124.502, 123.455, 125.102, 0, 192.761, 238.355, 177.357, 56.1442
17, 900.00000, 124.364, 123.365, 125.012, 0, 208.576, 252.221, 187.042, 58.7016
17, 1800.00000, 124.446, 123.349, 124.977, 0, 200.018, 251.986, 187.169, 60.6222
17, 2700.00000, 124.418, 123.278, 124.865, 0, 201.276, 257.945, 195.073, 61.229
18, 0.00000, 124.277, 123.189, 124.809, 0, 216.277, 269.043, 202.082, 62.3308
18, 900.00000, 123.427, 122.278, 124.028, 0, 253.527, 310.154, 235.487, 68.9586
18, 1800.00000, 123.678, 122.542, 124.152, 0, 231.906, 288.139, 224.162, 61.8918
18, 2700.00000, 123.479, 122.29, 123.951, 0, 242.238, 302.546, 234.768, 65.8599
19, 0.00000, 123.236, 122.076, 123.798, 0, 249.066, 306.134, 235.489, 66.4597
19, 900.00000, 123.407, 122.22, 123.854, 0, 241.828, 302.204, 237.187, 64.3451
19, 1800.00000, 116.328, 115.308, 116.778, 0, 236.113, 290.721, 231.009, 58.4996
19, 2700.00000, 116.051, 115.197, 116.645, 0, 248.724, 289.433, 233.576, 51.3653
20, 0.00000, 116.189, 115.254, 116.724, 0, 245.058, 292.233, 233.502, 55.1578
20, 900.00000, 115.954, 115.2, 116.613, 0, 249.358, 281.433, 230.564, 45.962
20, 1800.00000, 116.244, 115.415, 116.852, 0, 239.713, 277.951, 222.718, 50.2856
20, 2700.00000, 113.288, 112.508, 113.869, 0, 226.275, 263.191, 212.023, 46.93
21, 0.00000, 113.077, 112.135, 113.487, 0, 233.931, 282.649, 234.73, 49.4901
21, 900.00000, 113.231, 112.447, 113.885, 0, 236.378, 272.728, 215.867, 51.1556
21, 1800.00000, 123.587, 122.6, 124.155, 0, 223.985, 265.95, 211.016, 51.1466
21, 2700.00000, 123.52, 122.516, 124.094, 0, 229.371, 273.52, 216.277, 53.3871
22, 0.00000, 123.89, 122.846, 124.362, 0, 212.909, 261.003, 206.67, 52.835
22, 900.00000, 123.759, 122.718, 124.249, 0, 218.553, 265.828, 210.666, 53.0437
22, 1800.00000, 123.674, 122.636, 124.183, 0, 223.221, 270.302, 213.84, 53.7952
22, 2700.00000, 127.055, 126.122, 127.641, 0, 227.578, 263.729, 209.266, 49.3039
23, 0.00000, 127.05, 126.137, 127.673, 0, 221.433, 255.029, 201.645, 48.0402
23, 900.00000, 127.375, 126.506, 127.948, 0, 209.693, 241.074, 192.587, 43.7846
23, 1800.00000, 129.817, 128.949, 130.386, 0, 207.358, 235.285, 189.668, 41.0144
23, 2700.00000, 129.934, 129.016, 130.48, 0, 205.724, 238.903, 189.385, 44.8652
