hour, t(sec), |V|1 (volts), |V|2 (volts), |V|3 (volts), |V|4 (volts), |I|1 (amps), |I|2 (amps), |I|3 (amps), |I|4 (amps)
0, 900.00000, 125.107, 125.936, 125.755, 0, 308.504, 213.948, 271.089, 81.3947
0, 1800.00000, 125.292, 126.102, 125.929, 0, 299.947, 207.477, 263.057, 79.5928
0, 2700.00000, 125.668, 126.397, 126.294, 0, 280.324, 195.269, 243.811, 72.9964
1, 0.00000, 125.456, 126.244, 126.084, 0, 292.703, 202.909, 256.207, 77.2467
1, 900.00000, 125.536, 126.318, 126.148, 0, 288.502, 199.407, 253.158, 76.7544
1, 1800.00000, 125.618, 126.354, 126.234, 0, 279.114, 194.317, 243.055, 72.8257
1, 2700.00000, 125.531, 126.305, 126.143, 0, 284.022, 195.725, 248.164, 75.9909
2, 0.00000, 125.452, 126.238, 126.095, 0, 288.738, 199.411, 250.638, 76.7024
2, 900.00000, 125.618, 126.368, 126.237, 0, 279.633, 193.331, 243.295, 74.1504
2, 1800.00000, 125.461, 126.261, 126.08, 0, 289.955, 199.013, 253.75, 78.3333
2, 2700.00000, 125.64, 126.389, 126.242, 0, 277.49, 191.474, 242.408, 74.0199
3, 0.00000, 125.939, 126.66, 126.517, 0, 260.082, 177.096, 226.644, 71.5036
3, 900.00000, 125.695, 126.482, 126.278, 0, 276.206, 187.401, 242.692, 76.7753
3, 1800.00000, 125.947, 126.668, 126.509, 0, 259.366, 176.454, 227.215, 71.5877
3, 2700.00000, 125.555, 126.336, 126.166, 0, 281.238, 192.444, 245.824, 76.4971
4, 0.00000, 125.654, 126.418, 126.256, 0, 276.026, 188.889, 241.303, 75.0827
4, 900.00000, 125.822, 126.56, 126.424, 0, 264.955, 180.154, 230.282, 72.9934
4, 1800.00000, 125.538, 126.304, 126.178, 0, 279.877, 191.48, 242.689, 75.9359
4, 2700.00000, 125.779, 126.492, 126.394, 0, 265.892, 182.822, 229.872, 71.3095
5, 0.00000, 125.58, 126.343, 126.185, 0, 277.313, 189.351, 242.6, 75.8092
5, 900.00000, 125.696, 126.436, 126.303, 0, 269.999, 184.31, 234.826, 73.72
5, 1800.00000, 125.491, 126.224, 126.14, 0, 275.871, 191.203, 237.377, 72.5595
5, 2700.00000, 125.48, 126.236, 126.101, 0, 278.611, 191.777, 242.433, 74.6397
6, 0.00000, 125.706, 126.422, 126.299, 0, 268.372, 184.954, 233.729, 71.73
6, 900.00000, 125.46, 126.2, 126.092, 0, 280.884, 193.864, 244.418, 74.7326
6, 1800.00000, 125.542, 126.256, 126.177, 0, 273.449, 187.62, 237.471, 73.6885
6, 2700.00000, 125.68, 126.383, 126.282, 0, 262.187, 177.208, 228.943, 73.2308
7, 0.00000, 125.432, 126.143, 126.067, 0, 274.741, 187.738, 239.971, 74.8187
7, 900.00000, 125.369, 126.051, 126.033, 0, 278.666, 193.061, 241.001, 73.2794
7, 1800.00000, 125.768, 126.436, 126.406, 0, 257.4, 173.537, 221.656, 71.94
7, 2700.00000, 125.818, 126.463, 126.452, 0, 254.941, 173.083, 219.495, 70.1725
8, 0.00000, 125.644, 126.294, 126.292, 0, 263.43, 180.254, 226.95, 71.2322
8, 900.00000, 125.933, 126.543, 126.565, 0, 247.679, 168.435, 212.46, 67.8683
8, 1800.00000, 125.846, 126.487, 126.48, 0, 250.702, 168.601, 215.9, 70.4338
8, 2700.00000, 125.597, 126.252, 126.263, 0, 263.961, 179.482, 227.194, 72.3408
9, 0.00000, 125.357, 126.032, 126.07, 0, 275.221, 188.627, 234.553, 73.985
9, 900.00000, 125.489, 126.149, 126.181, 0, 266.294, 181.467, 227.362, 72.5298
9, 1800.00000, 125.508, 126.143, 126.222, 0, 264.02, 181.513, 223.169, 70.4901
9, 2700.00000, 125.778, 126.388, 126.468, 0, 249.303, 169.55, 209.809, 68.1806
10, 0.00000, 125.72, 126.348, 126.403, 0, 254.374, 173.595, 215.413, 69.0648
10, 900.00000, 125.598, 126.22, 126.328, 0, 258.768, 177.96, 215.926, 69.133
10, 1800.00000, 125.733, 126.306, 126.438, 0, 251.421, 175.143, 210.656, 65.2682
10, 2700.00000, 125.492, 126.119, 126.218, 0, 268.102, 186.729, 226.527, 69.5265
11, 0.00000, 125.583, 126.177, 126.292, 0, 262.376, 183.612, 221.901, 67.2972
11, 900.00000, 125.85, 126.424, 126.538, 0, 246.798, 170.52, 207.301, 65.2315
11, 1800.00000, 125.503, 126.156, 126.247, 0, 270.53, 187.574, 226.653, 70.9552
11, 2700.00000, 125.579, 126.235, 126.285, 0, 270.175, 187.399, 228.865, 70.7516
12, 0.00000, 125.898, 126.478, 126.593, 0, 248.757, 172.845, 207.9, 65.0031
12, 900.00000, 125.411, 126.073, 126.167, 0, 275.627, 191.674, 231.079, 71.7987
12, 1800.00000, 125.439, 126.114, 126.164, 0, 275.451, 190.15, 233.309, 72.8807
12, 2700.00000, 125.515, 126.187, 126.259, 0, 273.29, 189.023, 229.853, 72.04
13, 0.00000, 125.617, 126.259, 126.349, 0, 268.867, 186.123, 226.27, 70.7185
13, 900.00000, 125.478, 126.138, 126.226, 0, 275.139, 190.572, 231.618, 72.2596
13, 1800.00000, 125.443, 126.087, 126.197, 0, 275.816, 192.596, 231.645, 71.1473
13, 2700.00000, 124.944, 125.625, 125.751, 0, 299.529, 211.515, 253.141, 75.1323
14, 0.00000, 125.149, 125.787, 125.959, 0, 287.826, 203.622, 240.739, 72.063
14, 900.00000, 125.216, 125.852, 126.012, 0, 285.622, 202.045, 239.679, 71.4796
14, 1800.00000, 125.437, 126.051, 126.198, 0, 274.102, 193.097, 230.39, 69.2615
14, 2700.00000, 125.435, 126.057, 126.195, 0, 277.193, 195.974, 232.895, 69.4825
15, 0.00000, 125.347, 125.989, 126.143, 0, 281.551, 197.454, 234.618, 72.0044
15, 900.00000, 125.525, 126.149, 126.295, 0, 273.824, 191.97, 228.851, 70.0526
15, 1800.00000, 125.282, 125.964, 126.043, 0, 285.721, 198.768, 241.78, 74.2456
15, 2700.00000, 125.452, 126.061, 126.22, 0, 273.098, 192.794, 228.203, 68.7812
16, 0.00000, 125.269, 125.946, 126.059, 0, 284.617, 198.339, 238.425, 73.7624
16, 900.00000, 125.25, 125.962, 126.021, 0, 287.925, 199.243, 243.52, 75.7399
16, 1800.00000, 125.263, 125.996, 126.023, 0, 287.307, 197.066, 243.386, 77.0904
16, 2700.00000, 125.417, 126.083, 126.183, 0, 278.13, 193.542, 233.249, 72.3294
17, 0.00000, 125.284, 125.983, 126.026, 0, 283.886, 196.28, 241.367, 74.8259
17, 900.00000, 125.367, 126.037, 126.125, 0, 278.381, 195.024, 233.144, 71.3635
17, 1800.00000, 125.311, 126.036, 126.081, 0, 290.071, 202.527, 242.742, 74.9564
17, 2700.00000, 125.311, 126.04, 126.087, 0, 290.189, 202.994, 241.904, 74.7521
18, 0.00000, 125.271, 125.992, 126.045, 0, 295.991, 210.107, 247.373, 73.7086
18, 900.00000, 124.799, 125.58, 125.648, 0, 318.844, 228.135, 264.927, 78.0893
18, 1800.00000, 124.823, 125.612, 125.647, 0, 316.408, 225.052, 264.305, 78.4221
18, 2700.00000, 124.784, 125.582, 125.623, 0, 324.545, 232.494, 271.187, 79.0902
19, 0.00000, 124.587, 125.444, 125.423, 0, 335.052, 238.047, 282.594, 83.0352
19, 900.00000, 124.708, 125.533, 125.542, 0, 328.708, 234.812, 275.795, 80.5425
19, 1800.00000, 124.62, 125.483, 125.454, 0, 331.494, 234.528, 278.858, 83.0419
19, 2700.00000, 124.535, 125.366, 125.379, 0, 331.993, 237.533, 279.93, 80.9104
20, 0.00000, 124.549, 125.356, 125.411, 0, 335.364, 242.946, 280.831, 79.488
20, 900.00000, 124.489, 125.329, 125.318, 0, 332.201, 236.558, 282.345, 81.7555
20, 1800.00000, 124.534, 125.369, 125.352, 0, 336.565, 241.569, 286.11, 81.2479
20, 2700.00000, 124.411, 125.293, 125.219, 0, 336.635, 237.581, 287.66, 84.6425
21, 0.00000, 124.233, 125.06, 125.127, 0, 343.813, 247.909, 287.96, 82.3435
21, 900.00000, 124.435, 125.29, 125.255, 0, 336.894, 239.353, 286.771, 83.349
21, 1800.00000, 124.586, 125.412, 125.363, 0, 331.436, 235.943, 284.495, 81.5641
21, 2700.00000, 124.639, 125.505, 125.416, 0, 327.079, 228.614, 280.281, 84.1641
22, 0.00000, 124.825, 125.653, 125.581, 0, 319.214, 224.133, 273.14, 81.2741
22, 900.00000, 124.705, 125.516, 125.466, 0, 326.132, 232.336, 279.475, 80.1439
22, 1800.00000, 124.613, 125.445, 125.38, 0, 332.834, 237.543, 285.753, 81.4182
22, 2700.00000, 124.909, 125.664, 125.674, 0, 316.703, 227.907, 269.707, 75.9435
23, 0.00000, 124.819, 125.623, 125.559, 0, 321.825, 228.314, 277.909, 79.917
23, 900.00000, 125.081, 125.851, 125.805, 0, 307.371, 217.301, 263.923, 76.9955
23, 1800.00000, 124.929, 125.707, 125.637, 0, 314.656, 223.37, 272.925, 78.0633
23, 2700.00000, 125.049, 125.85, 125.755, 0, 309.323, 216.546, 267.516, 79.407
24, 0.00000, 124.962, 125.78, 125.672, 0, 315.079, 220.751, 273.228, 80.7579
24, 900.00000, 125.107, 125.936, 125.755, 0, 308.509, 213.952, 271.093, 81.3964
