hour, t(sec), |V|1 (volts), |V|2 (volts), |V|3 (volts), |V|4 (volts), |I|1 (amps), |I|2 (amps), |I|3 (amps), |I|4 (amps)
0, 900.00000, 128.569, 128.619, 129.557, 0, 286.608, 254.827, 216.059, 61.49
0, 1800.00000, 128.812, 128.846, 129.754, 0, 273.257, 243.328, 206.198, 58.4571
0, 2700.00000, 124.537, 124.633, 125.494, 0, 260.929, 231.832, 196.645, 56.1148
1, 0.00000, 124.311, 124.405, 125.294, 0, 274.094, 245.427, 207.839, 57.9569
1, 900.00000, 124.395, 124.5, 125.348, 0, 269.619, 240.32, 205.881, 55.6239
1, 1800.00000, 121.137, 121.286, 122.087, 0, 263.207, 234.635, 200.803, 54.5195
1, 2700.00000, 121.033, 121.194, 122.012, 0, 269.382, 239.602, 204.383, 56.7835
2, 0.00000, 120.991, 121.138, 121.989, 0, 270.997, 242.484, 204.829, 57.9486
2, 900.00000, 121.144, 121.29, 122.101, 0, 263.162, 234.55, 200.026, 55.1735
2, 1800.00000, 121.066, 121.218, 122.035, 0, 266.739, 237.302, 202.796, 55.8561
2, 2700.00000, 121.483, 121.63, 122.403, 0, 256.213, 227.458, 196.113, 52.4352
3, 0.00000, 125.996, 126.066, 126.875, 0, 244.875, 218.266, 185.148, 52.122
3, 900.00000, 125.898, 125.989, 126.778, 0, 248.444, 219.778, 189.09, 51.6837
3, 1800.00000, 126.091, 126.163, 126.93, 0, 236.824, 210.113, 180.551, 49.0083
3, 2700.00000, 125.727, 125.815, 126.635, 0, 255.769, 226.807, 194.583, 53.3134
4, 0.00000, 125.825, 125.903, 126.726, 0, 250.867, 223.04, 190.155, 52.9434
4, 900.00000, 125.893, 125.979, 126.796, 0, 248.577, 220.091, 187.594, 53.1481
4, 1800.00000, 125.653, 125.74, 126.592, 0, 259.166, 229.329, 195.95, 55.0942
4, 2700.00000, 129.962, 129.972, 130.788, 0, 241.543, 214.435, 182.964, 50.9591
5, 0.00000, 129.797, 129.819, 130.628, 0, 250.267, 221.318, 191.69, 50.8899
5, 900.00000, 129.902, 129.911, 130.732, 0, 243.881, 216.391, 185.131, 51.0943
5, 1800.00000, 132.237, 132.218, 133.044, 0, 251.486, 223.751, 191.599, 52.0305
5, 2700.00000, 132.299, 132.285, 133.086, 0, 247.98, 219.523, 189.55, 50.6978
6, 0.00000, 132.586, 132.548, 133.331, 0, 231.41, 205.147, 175.965, 48.1211
6, 900.00000, 132.356, 132.314, 133.153, 0, 244.044, 215.879, 185.028, 51.2236
6, 1800.00000, 125.793, 125.855, 126.716, 0, 253.946, 224.316, 192.801, 53.2571
6, 2700.00000, 126.052, 126.101, 126.942, 0, 239.143, 210.506, 180.52, 51.0419
7, 0.00000, 125.875, 125.948, 126.77, 0, 245.232, 213.05, 187.452, 50.361
7, 900.00000, 125.821, 125.909, 126.735, 0, 248.207, 213.658, 188.481, 52.1244
7, 1800.00000, 126.127, 126.198, 126.984, 0, 232.228, 199.927, 177.127, 48.1134
7, 2700.00000, 126.237, 126.293, 127.067, 0, 224.641, 193.653, 171.759, 46.1706
8, 0.00000, 126.069, 126.128, 126.907, 0, 232.16, 199.941, 178.875, 46.6107
8, 900.00000, 126.353, 126.394, 127.124, 0, 217.193, 187.072, 169.641, 41.7497
8, 1800.00000, 126.268, 126.304, 127.078, 0, 220.295, 190.432, 169.824, 44.0902
8, 2700.00000, 126.046, 126.066, 126.914, 0, 231.428, 201.699, 176.856, 47.5287
9, 0.00000, 125.728, 125.763, 126.616, 0, 248.342, 216.859, 192.341, 48.8238
9, 900.00000, 125.895, 125.914, 126.757, 0, 236.922, 207.308, 182.975, 46.9984
9, 1800.00000, 126, 126.055, 126.818, 0, 229.408, 196.804, 179.055, 44.3187
9, 2700.00000, 126.153, 126.222, 126.932, 0, 224.676, 191.574, 177.142, 42.2337
10, 0.00000, 126.223, 126.278, 126.962, 0, 218.92, 187.474, 174.726, 39.3999
10, 900.00000, 126.002, 126.082, 126.799, 0, 231.325, 197.25, 182.361, 43.5035
10, 1800.00000, 126.188, 126.22, 126.945, 0, 219.733, 190.195, 174.193, 40.0821
10, 2700.00000, 125.971, 126.026, 126.741, 0, 229.106, 197.106, 183.502, 40.5716
11, 0.00000, 126.041, 126.081, 126.812, 0, 225.395, 194.408, 179.347, 40.7125
11, 900.00000, 126.199, 126.225, 126.956, 0, 219.143, 190.242, 173.439, 40.1226
11, 1800.00000, 125.857, 125.963, 126.653, 0, 235.832, 199.85, 187.221, 43.6717
11, 2700.00000, 125.99, 126.074, 126.772, 0, 230.867, 197.36, 182.709, 42.7871
12, 0.00000, 126.159, 126.205, 126.937, 0, 222.397, 192.645, 174.175, 42.2463
12, 900.00000, 125.701, 125.805, 126.546, 0, 246.135, 210.285, 193.625, 46.5372
12, 1800.00000, 125.813, 125.864, 126.67, 0, 239.299, 207.682, 185.368, 47.1025
12, 2700.00000, 125.771, 125.871, 126.611, 0, 242.085, 207.16, 190.219, 45.8851
13, 0.00000, 125.971, 126.026, 126.781, 0, 229.548, 197.428, 179.945, 43.6612
13, 900.00000, 125.784, 125.862, 126.622, 0, 239.671, 205.24, 188.149, 45.5259
13, 1800.00000, 125.678, 125.752, 126.527, 0, 247.01, 212.894, 194.426, 46.3028
13, 2700.00000, 125.167, 125.239, 126.112, 0, 270.962, 235.356, 212.496, 51.2227
14, 0.00000, 125.414, 125.45, 126.319, 0, 256.005, 223.596, 200.596, 48.4145
14, 900.00000, 125.577, 125.603, 126.447, 0, 246.07, 214.97, 193.442, 46.0048
14, 1800.00000, 125.685, 125.715, 126.536, 0, 244.091, 213.466, 192.531, 45.0807
14, 2700.00000, 125.699, 125.725, 126.541, 0, 245.336, 215.522, 193.819, 44.9758
15, 0.00000, 125.587, 125.664, 126.429, 0, 251.455, 215.944, 200.427, 45.3431
15, 900.00000, 125.853, 125.881, 126.664, 0, 236.738, 206.282, 188.06, 42.7085
15, 1800.00000, 125.642, 125.688, 126.496, 0, 248.783, 216.576, 196.674, 45.6817
15, 2700.00000, 125.686, 125.71, 126.548, 0, 246.754, 216.92, 193.668, 46.2928
16, 0.00000, 125.539, 125.587, 126.43, 0, 255.169, 222.964, 200.114, 48.1007
16, 900.00000, 125.55, 125.608, 126.43, 0, 256.107, 223.728, 202.112, 47.2484
16, 1800.00000, 125.618, 125.678, 126.483, 0, 250.937, 218.611, 197.729, 46.593
16, 2700.00000, 125.769, 125.827, 126.618, 0, 243.127, 210.941, 190.877, 45.7935
17, 0.00000, 125.57, 125.628, 126.453, 0, 254.249, 221.875, 199.389, 47.951
17, 900.00000, 125.65, 125.704, 126.516, 0, 248.811, 218.647, 194.06, 47.7154
17, 1800.00000, 125.493, 125.605, 126.383, 0, 261.684, 226.863, 203.874, 50.5818
17, 2700.00000, 125.482, 125.631, 126.352, 0, 262.684, 225.471, 206.156, 49.8671
18, 0.00000, 125.548, 125.659, 126.431, 0, 259.755, 226.302, 201.372, 50.9352
18, 900.00000, 124.976, 125.165, 125.958, 0, 290.125, 250.174, 224.434, 57.5473
18, 1800.00000, 124.837, 125.021, 125.847, 0, 301.11, 261.666, 232.815, 59.6469
18, 2700.00000, 124.75, 124.971, 125.747, 0, 305.306, 262.792, 238.197, 58.9971
19, 0.00000, 124.62, 124.875, 125.642, 0, 310.251, 264.73, 241.575, 60.6882
19, 900.00000, 124.686, 124.97, 125.681, 0, 308.586, 261.01, 241.676, 59.7378
19, 1800.00000, 120.016, 120.364, 121.073, 0, 320.984, 274.119, 250.87, 62.1833
19, 2700.00000, 119.888, 120.211, 120.951, 0, 325.41, 280.734, 256.047, 61.3442
20, 0.00000, 120.031, 120.34, 121.052, 0, 317.41, 273.722, 250.817, 58.9473
20, 900.00000, 119.967, 120.258, 121.001, 0, 315.466, 273.377, 249.49, 58.2846
20, 1800.00000, 120.052, 120.317, 121.11, 0, 315.964, 276.006, 246.591, 60.7574
20, 2700.00000, 117.968, 118.274, 119.028, 0, 321.541, 280.068, 252.366, 60.9404
21, 0.00000, 117.789, 118.109, 118.861, 0, 328.947, 284.902, 259.176, 61.7392
