hour, t(sec), |V|1 (volts), |V|2 (volts), |V|3 (volts), |V|4 (volts), |I|1 (amps), |I|2 (amps), |I|3 (amps), |I|4 (amps)
0, 900.00000, 123.87, 123.228, 126.535, 0, 151.342, 162.906, 30.363, 127.701
0, 1800.00000, 124.27, 123.607, 126.741, 0, 139.172, 152.316, 28.0717, 118.678
0, 2700.00000, 125.008, 124.336, 127.335, 0, 131.126, 145.55, 26.7525, 112.668
1, 0.00000, 124.836, 124.189, 127.18, 0, 132.871, 146.116, 28.0174, 112.484
1, 900.00000, 124.911, 124.285, 127.251, 0, 131.796, 144.187, 26.9595, 111.971
1, 1800.00000, 124.581, 123.928, 126.831, 0, 126.941, 141.121, 26.4829, 108.614
1, 2700.00000, 124.482, 123.776, 126.868, 0, 129.067, 145.711, 20.788, 117.803
2, 0.00000, 124.468, 123.656, 126.815, 0, 126.83, 149.304, 21.343, 118.565
2, 900.00000, 124.667, 123.959, 126.912, 0, 122.922, 139.852, 22.4585, 110.213
2, 1800.00000, 124.508, 123.793, 126.846, 0, 126.44, 143.345, 21.2228, 114.924
2, 2700.00000, 124.493, 123.803, 126.734, 0, 122.348, 138.506, 22.069, 109.568
3, 0.00000, 124.831, 124.21, 126.962, 0, 115.542, 129.038, 20.4669, 102.802
3, 900.00000, 124.549, 123.952, 126.779, 0, 122.605, 134.244, 22.9894, 106.295
3, 1800.00000, 124.858, 124.216, 127.008, 0, 114.127, 128.711, 18.0333, 104.441
3, 2700.00000, 124.41, 123.701, 126.676, 0, 122.53, 139.689, 21.5111, 110.908
4, 0.00000, 124.501, 123.801, 126.739, 0, 121.952, 138.925, 22.2917, 109.446
4, 900.00000, 124.638, 123.946, 126.846, 0, 119.496, 136.401, 21.2075, 108.031
4, 1800.00000, 124.363, 123.56, 126.679, 0, 122.088, 143.646, 18.8646, 115.76
4, 2700.00000, 124.394, 123.629, 126.541, 0, 116.069, 136.509, 20.836, 107.155
5, 0.00000, 124.121, 123.412, 126.404, 0, 122.911, 139.605, 20.9098, 111.604
5, 900.00000, 124.3, 123.501, 126.556, 0, 117.129, 138.945, 16.0813, 113.733
5, 1800.00000, 123.543, 122.708, 125.704, 0, 118.133, 142.07, 22.9135, 109.374
5, 2700.00000, 123.455, 122.698, 125.718, 0, 124.021, 143.527, 23.1567, 112.175
6, 0.00000, 123.818, 123.082, 125.945, 0, 116.893, 135.381, 22.3236, 105.296
6, 900.00000, 123.474, 122.706, 125.727, 0, 124.171, 142.808, 24.4504, 110.539
6, 1800.00000, 123.479, 122.768, 125.739, 0, 125.24, 140.262, 25.6484, 108.272
6, 2700.00000, 123.261, 122.606, 125.466, 0, 119.644, 131.75, 22.7892, 103.838
7, 0.00000, 122.795, 122.088, 125.212, 0, 132.526, 146.013, 25.8466, 114.485
7, 900.00000, 122.81, 122.079, 125.155, 0, 131.374, 144.875, 28.0718, 111.13
7, 1800.00000, 123.532, 122.739, 125.802, 0, 119.339, 137.463, 18.9337, 110.891
7, 2700.00000, 123.617, 122.787, 125.843, 0, 117.169, 137.242, 18.9932, 109.866
8, 0.00000, 123.359, 122.516, 125.702, 0, 123.66, 143.377, 19.3469, 115.736
8, 900.00000, 123.81, 123.025, 125.897, 0, 111.423, 128.805, 20.7672, 100.78
8, 1800.00000, 123.696, 122.917, 125.833, 0, 111.502, 128.43, 18.9076, 102.43
8, 2700.00000, 123.368, 122.501, 125.605, 0, 117.555, 137.822, 20.4402, 108.982
9, 0.00000, 123.193, 122.181, 125.462, 0, 117.182, 144.927, 18.2694, 115.497
9, 900.00000, 123.348, 122.342, 125.576, 0, 111.393, 139.369, 14.7058, 113.447
9, 1800.00000, 123.066, 122.064, 125.343, 0, 118.138, 146.14, 19.0487, 115.843
9, 2700.00000, 123.527, 122.602, 125.579, 0, 105.294, 129.84, 17.2079, 102.773
10, 0.00000, 123.392, 122.522, 125.486, 0, 111.83, 133.989, 21.7264, 103.239
10, 900.00000, 123.266, 122.254, 125.411, 0, 111.616, 140.728, 18.7987, 110.433
10, 1800.00000, 123.453, 122.446, 125.487, 0, 108.178, 137.424, 21.1434, 104.908
10, 2700.00000, 123.466, 122.454, 125.617, 0, 114.663, 143.493, 22.897, 109.272
11, 0.00000, 123.549, 122.587, 125.679, 0, 114.156, 140.102, 23.0593, 106.697
11, 900.00000, 123.798, 122.822, 125.93, 0, 111.234, 139.152, 18.5209, 109.521
11, 1800.00000, 123.924, 122.942, 126.058, 0, 113.548, 141.231, 21.9511, 108.32
11, 2700.00000, 123.973, 123.097, 126.091, 0, 118.518, 140.905, 27.0401, 104.766
12, 0.00000, 124.378, 123.4, 126.401, 0, 107.24, 135.908, 19.7704, 104.91
12, 900.00000, 123.692, 122.606, 126.001, 0, 123.046, 155.911, 22.044, 120.953
12, 1800.00000, 123.765, 122.784, 126.055, 0, 122.099, 149.335, 21.9449, 116.398
12, 2700.00000, 124.088, 123.127, 126.34, 0, 124.106, 151.019, 26.4016, 113.819
13, 0.00000, 124.332, 123.307, 126.547, 0, 117.235, 146.928, 21.0714, 114.107
13, 900.00000, 124.121, 123.104, 126.406, 0, 121.729, 150.585, 22.3162, 116.744
13, 1800.00000, 124.074, 123.053, 126.289, 0, 119.875, 148.821, 23.9527, 113.397
13, 2700.00000, 123.337, 122.208, 125.835, 0, 134.795, 167.469, 26.4248, 128.101
14, 0.00000, 123.726, 122.539, 126.053, 0, 121.624, 158.015, 22.0697, 122.01
14, 900.00000, 123.828, 122.712, 126.062, 0, 119.66, 152.762, 25.3213, 114.725
14, 1800.00000, 124.033, 122.968, 126.228, 0, 118.985, 150.148, 25.5415, 112.508
14, 2700.00000, 124.167, 123.156, 126.237, 0, 117.564, 146.138, 30.1857, 104.874
15, 0.00000, 124.091, 123.058, 126.208, 0, 116.636, 145.366, 27.1489, 107.025
15, 900.00000, 124.354, 123.309, 126.375, 0, 111.743, 142.049, 27.1594, 103.33
15, 1800.00000, 123.778, 122.827, 125.941, 0, 121.138, 145.9, 29.5063, 106.513
15, 2700.00000, 123.944, 122.94, 126.024, 0, 117.054, 145.375, 29.2768, 105.087
16, 0.00000, 123.743, 122.677, 125.952, 0, 119.987, 151.197, 25.8864, 113.183
16, 900.00000, 123.715, 122.723, 125.915, 0, 122.338, 150.124, 28.9587, 110.208
16, 1800.00000, 123.696, 122.664, 126.013, 0, 124.129, 154.252, 23.817, 118.483
16, 2700.00000, 123.8, 122.755, 126.007, 0, 121.243, 152.084, 26.4511, 113.59
17, 0.00000, 123.534, 122.547, 125.908, 0, 128.404, 155.874, 24.8462, 119.927
17, 900.00000, 123.592, 122.479, 125.959, 0, 128.169, 164.111, 23.6333, 126.459
17, 1800.00000, 124.188, 123.105, 126.511, 0, 126.497, 160.505, 23.1781, 123.946
17, 2700.00000, 124.188, 123.17, 126.453, 0, 125.436, 156.563, 25.0861, 119.129
